"Notes"	"County"	"County Code"	"Single Race 6"	"Single Race 6 Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Lamar County, GA"	"13171"	"White"	"2106-3"	98	51479	190.3689	154.5510	231.9988	19.2302	0.0091%
	"Lanier County, GA"	"13173"	"White"	"2106-3"	40	30054	133.0938	95.0835	181.2364	21.0440	0.0037%
	"Laurens County, GA"	"13175"	"Black or African American"	"2054-5"	75	72022	104.1348	81.9083	130.5341	12.0245	0.0070%
	"Laurens County, GA"	"13175"	"White"	"2106-3"	251	114275	219.6456	192.4723	246.8188	13.8639	0.0233%
	"Lee County, GA"	"13177"	"White"	"2106-3"	96	88982	107.8870	87.3885	131.7484	11.0112	0.0089%
	"Liberty County, GA"	"13179"	"Black or African American"	"2054-5"	50	113175	44.1794	32.7908	58.2452	6.2479	0.0047%
	"Liberty County, GA"	"13179"	"White"	"2106-3"	106	117730	90.0365	72.8961	107.1770	8.7451	0.0099%
	"Lincoln County, GA"	"13181"	"Black or African American"	"2054-5"	13	9044	Unreliable	76.5367	245.8026	39.8668	0.0012%
	"Lincoln County, GA"	"13181"	"White"	"2106-3"	27	21664	124.6307	82.1329	181.3315	23.9852	0.0025%
	"Long County, GA"	"13183"	"White"	"2106-3"	57	49735	114.6074	86.8025	148.4877	15.1801	0.0053%
	"Lowndes County, GA"	"13185"	"Black or African American"	"2054-5"	122	176962	68.9414	56.7077	81.1750	6.2417	0.0113%
	"Lowndes County, GA"	"13185"	"White"	"2106-3"	295	270611	109.0126	96.5725	121.4526	6.3470	0.0274%
	"Lumpkin County, GA"	"13187"	"White"	"2106-3"	127	127957	99.2521	81.9900	116.5142	8.8072	0.0118%
	"McDuffie County, GA"	"13189"	"Black or African American"	"2054-5"	37	35519	104.1696	73.3448	143.5843	17.1254	0.0034%
	"McDuffie County, GA"	"13189"	"White"	"2106-3"	87	47588	182.8192	146.4309	225.5075	19.6003	0.0081%
	"McIntosh County, GA"	"13191"	"White"	"2106-3"	48	34630	138.6081	102.1986	183.7736	20.0064	0.0045%
	"Macon County, GA"	"13193"	"Black or African American"	"2054-5"	31	30709	100.9476	68.5889	143.2870	18.1307	0.0029%
	"Macon County, GA"	"13193"	"White"	"2106-3"	38	18344	207.1522	146.5933	284.3330	33.6045	0.0035%
	"Madison County, GA"	"13195"	"White"	"2106-3"	137	103911	131.8436	109.7658	153.9213	11.2642	0.0127%
	"Marion County, GA"	"13197"	"White"	"2106-3"	28	20976	133.4859	88.7000	192.9245	25.2265	0.0026%
	"Meriwether County, GA"	"13199"	"Black or African American"	"2054-5"	17	32166	Unreliable	30.7877	84.6195	12.8182	0.0016%
	"Meriwether County, GA"	"13199"	"White"	"2106-3"	80	49461	161.7436	128.2530	201.3045	18.0835	0.0074%
	"Miller County, GA"	"13201"	"Black or African American"	"2054-5"	12	6514	Unreliable	95.1876	321.7931	53.1793	0.0011%
	"Miller County, GA"	"13201"	"White"	"2106-3"	32	15790	202.6599	138.6194	286.0950	35.8255	0.0030%
	"Mitchell County, GA"	"13205"	"Black or African American"	"2054-5"	34	41700	81.5348	56.4653	113.9367	13.9831	0.0032%
	"Mitchell County, GA"	"13205"	"White"	"2106-3"	76	43016	176.6784	139.2032	221.1396	20.2664	0.0071%
	"Monroe County, GA"	"13207"	"Black or African American"	"2054-5"	28	25042	111.8122	74.2981	161.5999	21.1305	0.0026%
	"Monroe County, GA"	"13207"	"White"	"2106-3"	123	83640	147.0588	121.0695	173.0481	13.2598	0.0114%
	"Montgomery County, GA"	"13209"	"Black or African American"	"2054-5"	10	9357	Unreliable	51.2493	196.5416	33.7958	0.0009%
	"Montgomery County, GA"	"13209"	"White"	"2106-3"	45	25867	173.9668	126.8931	232.7815	25.9334	0.0042%
	"Morgan County, GA"	"13211"	"Black or African American"	"2054-5"	10	16875	Unreliable	28.4172	108.9801	18.7394	0.0009%
	"Morgan County, GA"	"13211"	"White"	"2106-3"	57	59174	96.3261	72.9564	124.8020	12.7587	0.0053%
	"Murray County, GA"	"13213"	"White"	"2106-3"	200	152741	130.9406	112.7932	149.0881	9.2589	0.0186%
	"Muscogee County, GA"	"13215"	"Black or African American"	"2054-5"	226	380105	59.4573	51.7054	67.2091	3.9550	0.0210%
	"Muscogee County, GA"	"13215"	"White"	"2106-3"	484	357750	135.2900	123.2369	147.3431	6.1495	0.0450%
	"Newton County, GA"	"13217"	"Black or African American"	"2054-5"	79	217154	36.3797	28.8022	45.3400	4.0930	0.0073%
	"Newton County, GA"	"13217"	"White"	"2106-3"	299	214591	139.3348	123.5413	155.1284	8.0579	0.0278%
	"Oconee County, GA"	"13219"	"White"	"2106-3"	105	144298	72.7661	58.8476	86.6845	7.1012	0.0098%
	"Oglethorpe County, GA"	"13221"	"White"	"2106-3"	64	48194	132.7966	102.2693	169.5786	16.5996	0.0060%
	"Paulding County, GA"	"13223"	"Black or African American"	"2054-5"	23	152693	15.0629	9.5485	22.6017	3.1408	0.0021%
	"Paulding County, GA"	"13223"	"White"	"2106-3"	368	498367	73.8412	66.2967	81.3857	3.8492	0.0342%
	"Peach County, GA"	"13225"	"Black or African American"	"2054-5"	39	49526	78.7465	55.9966	107.6489	12.6095	0.0036%
	"Peach County, GA"	"13225"	"White"	"2106-3"	91	57571	158.0657	127.2650	194.0699	16.5698	0.0085%
	"Pickens County, GA"	"13227"	"White"	"2106-3"	163	126353	129.0037	109.1991	148.8082	10.1043	0.0152%
	"Pierce County, GA"	"13229"	"White"	"2106-3"	108	68863	156.8331	127.2542	186.4120	15.0913	0.0100%
	"Pike County, GA"	"13231"	"White"	"2106-3"	90	67479	133.3748	107.2494	163.9403	14.0589	0.0084%
	"Polk County, GA"	"13233"	"Black or African American"	"2054-5"	24	22029	108.9473	69.8047	162.1049	22.2388	0.0022%
	"Polk County, GA"	"13233"	"White"	"2106-3"	236	142879	165.1747	144.1009	186.2486	10.7520	0.0220%
	"Pulaski County, GA"	"13235"	"Black or African American"	"2054-5"	12	13797	Unreliable	44.9411	151.9287	25.1076	0.0011%
	"Pulaski County, GA"	"13235"	"White"	"2106-3"	32	28009	114.2490	78.1463	161.2853	20.1966	0.0030%
	"Putnam County, GA"	"13237"	"Black or African American"	"2054-5"	14	23537	Unreliable	32.5188	99.7987	15.8969	0.0013%
	"Putnam County, GA"	"13237"	"White"	"2106-3"	83	63117	131.5018	104.7399	163.0162	14.4342	0.0077%
	"Rabun County, GA"	"13241"	"White"	"2106-3"	98	64854	151.1086	122.6776	184.1531	15.2643	0.0091%
	"Randolph County, GA"	"13243"	"Black or African American"	"2054-5"	21	16291	128.9055	79.7951	197.0463	28.1295	0.0020%
	"Randolph County, GA"	"13243"	"White"	"2106-3"	15	9823	Unreliable	85.4663	251.8604	39.4277	0.0014%
	"Richmond County, GA"	"13245"	"Black or African American"	"2054-5"	279	470100	59.3491	52.3849	66.3132	3.5531	0.0260%
	"Richmond County, GA"	"13245"	"White"	"2106-3"	485	299814	161.7670	147.3699	176.1641	7.3455	0.0451%
	"Rockdale County, GA"	"13247"	"Black or African American"	"2054-5"	91	216418	42.0483	33.8547	51.6260	4.4079	0.0085%
	"Rockdale County, GA"	"13247"	"White"	"2106-3"	213	132094	161.2488	139.5936	182.9040	11.0486	0.0198%
	"Schley County, GA"	"13249"	"White"	"2106-3"	16	15261	Unreliable	59.9269	170.2578	26.2106	0.0015%
	"Screven County, GA"	"13251"	"Black or African American"	"2054-5"	19	22944	Unreliable	49.8576	129.3183	18.9980	0.0018%
	"Screven County, GA"	"13251"	"White"	"2106-3"	65	31633	205.4816	158.5866	261.9028	25.4869	0.0060%
	"Seminole County, GA"	"13253"	"Black or African American"	"2054-5"	14	11125	Unreliable	68.7995	211.1427	33.6329	0.0013%
	"Seminole County, GA"	"13253"	"White"	"2106-3"	40	21646	184.7916	132.0170	251.6345	29.2181	0.0037%
	"Spalding County, GA"	"13255"	"Black or African American"	"2054-5"	66	94743	69.6621	53.8767	88.6277	8.5748	0.0061%
	"Spalding County, GA"	"13255"	"White"	"2106-3"	370	163710	226.0094	202.9801	249.0388	11.7497	0.0344%
	"Stephens County, GA"	"13257"	"White"	"2106-3"	157	89033	176.3391	148.7553	203.9230	14.0734	0.0146%
	"Stewart County, GA"	"13259"	"Black or African American"	"2054-5"	13	11884	Unreliable	58.2462	187.0615	30.3395	0.0012%
	"Stewart County, GA"	"13259"	"White"	"2106-3"	19	11389	Unreliable	100.4419	260.5214	38.2729	0.0018%
	"Sumter County, GA"	"13261"	"Black or African American"	"2054-5"	48	62617	76.6565	56.5204	101.6350	11.0644	0.0045%
	"Sumter County, GA"	"13261"	"White"	"2106-3"	69	51292	134.5239	104.6677	170.2481	16.1948	0.0064%
	"Talbot County, GA"	"13263"	"Black or African American"	"2054-5"	14	13382	Unreliable	57.1958	175.5315	27.9604	0.0013%
	"Talbot County, GA"	"13263"	"White"	"2106-3"	17	10345	Unreliable	95.7291	263.1097	39.8560	0.0016%
	"Tattnall County, GA"	"13267"	"White"	"2106-3"	106	66470	159.4704	129.1117	189.8291	15.4891	0.0099%
	"Taylor County, GA"	"13269"	"Black or African American"	"2054-5"	12	12048	Unreliable	51.4651	173.9841	28.7525	0.0011%
	"Taylor County, GA"	"13269"	"White"	"2106-3"	30	19020	157.7287	106.4196	225.1672	28.7972	0.0028%
	"Telfair County, GA"	"13271"	"Black or African American"	"2054-5"	26	22159	117.3338	76.6460	171.9210	23.0111	0.0024%
	"Telfair County, GA"	"13271"	"White"	"2106-3"	55	36213	151.8792	114.4166	197.6920	20.4794	0.0051%
	"Terrell County, GA"	"13273"	"Black or African American"	"2054-5"	15	20696	Unreliable	40.5651	119.5412	18.7137	0.0014%
	"Terrell County, GA"	"13273"	"White"	"2106-3"	25	12995	192.3817	124.4998	283.9938	38.4763	0.0023%
	"Thomas County, GA"	"13275"	"Black or African American"	"2054-5"	76	65175	116.6091	91.8752	145.9538	13.3760	0.0071%
	"Thomas County, GA"	"13275"	"White"	"2106-3"	177	108214	163.5648	139.4680	187.6616	12.2943	0.0165%
	"Tift County, GA"	"13277"	"Black or African American"	"2054-5"	32	50370	63.5299	43.4544	89.6851	11.2306	0.0030%
	"Tift County, GA"	"13277"	"White"	"2106-3"	146	106883	136.5980	114.4403	158.7556	11.3049	0.0136%
	"Toombs County, GA"	"13279"	"Black or African American"	"2054-5"	24	28678	83.6878	53.6205	124.5208	17.0827	0.0022%
	"Toombs County, GA"	"13279"	"White"	"2106-3"	137	75258	182.0404	151.5570	212.5239	15.5528	0.0127%
	"Towns County, GA"	"13281"	"White"	"2106-3"	86	47174	182.3038	145.8193	225.1434	19.6583	0.0080%
	"Treutlen County, GA"	"13283"	"White"	"2106-3"	30	17831	168.2463	113.5158	240.1817	30.7174	0.0028%
	"Troup County, GA"	"13285"	"Black or African American"	"2054-5"	67	102318	65.4821	50.7480	83.1597	7.9999	0.0062%
	"Troup County, GA"	"13285"	"White"	"2106-3"	239	164316	145.4514	127.0108	163.8921	9.4085	0.0222%
	"Turner County, GA"	"13287"	"Black or African American"	"2054-5"	19	13223	Unreliable	86.5109	224.3877	32.9645	0.0018%
	"Turner County, GA"	"13287"	"White"	"2106-3"	48	18551	258.7462	190.7787	343.0586	37.3468	0.0045%
	"Twiggs County, GA"	"13289"	"Black or African American"	"2054-5"	19	13058	Unreliable	87.6040	227.2230	33.3811	0.0018%
	"Twiggs County, GA"	"13289"	"White"	"2106-3"	44	18363	239.6123	174.1023	321.6675	36.1229	0.0041%
	"Union County, GA"	"13291"	"White"	"2106-3"	148	96117	153.9790	129.1713	178.7867	12.6570	0.0138%
	"Upson County, GA"	"13293"	"Black or African American"	"2054-5"	36	30401	118.4172	82.9382	163.9391	19.7362	0.0033%
	"Upson County, GA"	"13293"	"White"	"2106-3"	234	73279	319.3275	278.4123	360.2427	20.8751	0.0218%
	"Walker County, GA"	"13295"	"White"	"2106-3"	374	257220	145.4008	130.6646	160.1371	7.5185	0.0348%
	"Walton County, GA"	"13297"	"Black or African American"	"2054-5"	38	73939	51.3937	36.3693	70.5420	8.3372	0.0035%
	"Walton County, GA"	"13297"	"White"	"2106-3"	340	295164	115.1902	102.9460	127.4344	6.2471	0.0316%
	"Ware County, GA"	"13299"	"Black or African American"	"2054-5"	37	43264	85.5214	60.2148	117.8802	14.0596	0.0034%
	"Ware County, GA"	"13299"	"White"	"2106-3"	221	94638	233.5214	202.7331	264.3098	15.7084	0.0206%
	"Warren County, GA"	"13301"	"White"	"2106-3"	22	8294	265.2520	166.2308	401.5942	56.5519	0.0020%
	"Washington County, GA"	"13303"	"Black or African American"	"2054-5"	34	43310	78.5038	54.3662	109.7012	13.4633	0.0032%
	"Washington County, GA"	"13303"	"White"	"2106-3"	78	35675	218.6405	172.8266	272.8743	24.7562	0.0073%
	"Wayne County, GA"	"13305"	"Black or African American"	"2054-5"	26	24222	107.3404	70.1180	157.2784	21.0512	0.0024%
	"Wayne County, GA"	"13305"	"White"	"2106-3"	171	91537	186.8097	158.8097	214.8097	14.2857	0.0159%
	"Wheeler County, GA"	"13309"	"White"	"2106-3"	22	18607	118.2351	74.0967	179.0091	25.2078	0.0020%
	"White County, GA"	"13311"	"White"	"2106-3"	143	114299	125.1105	104.6044	145.6165	10.4623	0.0133%
	"Whitfield County, GA"	"13313"	"Black or African American"	"2054-5"	11	18219	Unreliable	30.1400	108.0305	18.2042	0.0010%
	"Whitfield County, GA"	"13313"	"White"	"2106-3"	405	376283	107.6318	97.1492	118.1144	5.3483	0.0377%
	"Wilcox County, GA"	"13315"	"White"	"2106-3"	55	21761	252.7457	190.4035	328.9840	34.0802	0.0051%
	"Wilkes County, GA"	"13317"	"Black or African American"	"2054-5"	12	15851	Unreliable	39.1175	132.2415	21.8542	0.0011%
	"Wilkes County, GA"	"13317"	"White"	"2106-3"	42	21731	193.2723	139.2933	261.2481	29.8226	0.0039%
	"Wilkinson County, GA"	"13319"	"White"	"2106-3"	38	21111	180.0009	127.3795	247.0657	29.2000	0.0035%
	"Worth County, GA"	"13321"	"Black or African American"	"2054-5"	23	22904	100.4191	63.6567	150.6779	20.9388	0.0021%
	"Worth County, GA"	"13321"	"White"	"2106-3"	127	56148	226.1879	186.8489	265.5270	20.0709	0.0118%
	"Hawaii County, HI"	"15001"	"Asian"	"A"	175	168425	103.9038	88.5092	119.2984	7.8544	0.0163%
	"Hawaii County, HI"	"15001"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	46	104834	43.8789	32.1251	58.5283	6.4696	0.0043%
	"Hawaii County, HI"	"15001"	"White"	"2106-3"	326	275419	118.3651	105.5161	131.2142	6.5556	0.0303%
	"Hawaii County, HI"	"15001"	"More than one race"	"M"	116	248688	46.6448	38.1563	55.1333	4.3309	0.0108%
	"Honolulu County, HI"	"15003"	"Asian"	"A"	1675	1669983	100.3004	95.4970	105.1039	2.4507	0.1558%
	"Honolulu County, HI"	"15003"	"Black or African American"	"2054-5"	14	109572	Unreliable	6.9853	21.4376	3.4148	0.0013%
	"Honolulu County, HI"	"15003"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	125	383641	32.5825	26.8706	38.2945	2.9143	0.0116%
	"Honolulu County, HI"	"15003"	"White"	"2106-3"	521	841193	61.9358	56.6175	67.2542	2.7135	0.0485%
	"Honolulu County, HI"	"15003"	"More than one race"	"M"	389	902358	43.1093	38.8253	47.3933	2.1857	0.0362%
	"Kauai County, HI"	"15007"	"Asian"	"A"	72	88627	81.2394	63.5649	102.3072	9.5741	0.0067%
	"Kauai County, HI"	"15007"	"White"	"2106-3"	62	95537	64.8963	49.7554	83.1938	8.2418	0.0058%
	"Kauai County, HI"	"15007"	"More than one race"	"M"	21	75333	27.8762	17.2559	42.6119	6.0831	0.0020%
	"Maui County, HI"	"15009"	"Asian"	"A"	104	191758	54.2350	43.8114	64.6587	5.3182	0.0097%
	"Maui County, HI"	"15009"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	14	70951	Unreliable	10.7876	33.1068	5.2736	0.0013%
	"Maui County, HI"	"15009"	"White"	"2106-3"	180	231793	77.6555	66.3108	89.0002	5.7881	0.0167%
	"Maui County, HI"	"15009"	"More than one race"	"M"	59	163139	36.1655	27.5310	46.6509	4.7083	0.0055%
	"Ada County, ID"	"16001"	"White"	"2106-3"	1145	1797537	63.6983	60.0087	67.3879	1.8825	0.1065%
	"Adams County, ID"	"16003"	"White"	"2106-3"	11	16596	Unreliable	33.0875	118.5953	19.9845	0.0010%
	"Bannock County, ID"	"16005"	"White"	"2106-3"	327	318438	102.6887	91.5585	113.8190	5.6787	0.0304%
	"Bear Lake County, ID"	"16007"	"White"	"2106-3"	23	24040	95.6739	60.6486	143.5577	19.9494	0.0021%
	"Benewah County, ID"	"16009"	"White"	"2106-3"	57	32793	173.8176	131.6477	225.2015	23.0227	0.0053%
	"Bingham County, ID"	"16011"	"American Indian or Alaska Native"	"1002-5"	10	13785	Unreliable	34.7871	133.4088	22.9400	0.0009%
	"Bingham County, ID"	"16011"	"White"	"2106-3"	151	168329	89.7053	75.3971	104.0135	7.3001	0.0140%
	"Blaine County, ID"	"16013"	"White"	"2106-3"	29	88633	32.7192	21.9127	46.9903	6.0758	0.0027%
	"Boise County, ID"	"16015"	"White"	"2106-3"	20	29762	67.1998	41.0476	103.7847	15.0263	0.0019%
	"Bonner County, ID"	"16017"	"White"	"2106-3"	192	178296	107.6861	92.4538	122.9184	7.7716	0.0179%
	"Bonneville County, ID"	"16019"	"White"	"2106-3"	393	458324	85.7472	77.2695	94.2249	4.3254	0.0366%
	"Boundary County, ID"	"16021"	"White"	"2106-3"	47	46388	101.3193	74.4454	134.7334	14.7789	0.0044%
	"Butte County, ID"	"16023"	"White"	"2106-3"	14	10055	Unreliable	76.1207	233.6113	37.2119	0.0013%
	"Canyon County, ID"	"16027"	"White"	"2106-3"	660	868760	75.9703	70.1744	81.7663	2.9571	0.0614%
	"Caribou County, ID"	"16029"	"White"	"2106-3"	34	27618	123.1081	85.2561	172.0313	21.1129	0.0032%
	"Cassia County, ID"	"16031"	"White"	"2106-3"	87	92001	94.5642	75.7421	116.6449	10.1383	0.0081%
	"Clearwater County, ID"	"16035"	"White"	"2106-3"	47	32898	142.8658	104.9721	189.9815	20.8391	0.0044%
	"Custer County, ID"	"16037"	"White"	"2106-3"	22	16529	133.0994	83.4121	201.5138	28.3769	0.0020%
	"Elmore County, ID"	"16039"	"White"	"2106-3"	81	97489	83.0863	65.9822	103.2688	9.2318	0.0075%
	"Franklin County, ID"	"16041"	"White"	"2106-3"	29	54663	53.0523	35.5302	76.1922	9.8516	0.0027%
	"Fremont County, ID"	"16043"	"White"	"2106-3"	37	50899	72.6930	51.1824	100.1978	11.9507	0.0034%
	"Gem County, ID"	"16045"	"White"	"2106-3"	107	70492	151.7903	123.0290	180.5515	14.6741	0.0100%
	"Gooding County, ID"	"16047"	"White"	"2106-3"	67	58100	115.3184	89.3706	146.4498	14.0884	0.0062%
	"Idaho County, ID"	"16049"	"White"	"2106-3"	92	62530	147.1294	118.6069	180.4409	15.3393	0.0086%
	"Jefferson County, ID"	"16051"	"White"	"2106-3"	72	116779	61.6549	48.2413	77.6439	7.2661	0.0067%
	"Jerome County, ID"	"16053"	"White"	"2106-3"	94	92450	101.6766	82.1648	124.4267	10.4871	0.0087%
	"Kootenai County, ID"	"16055"	"American Indian or Alaska Native"	"1002-5"	10	8998	Unreliable	53.2941	204.3832	35.1442	0.0009%
	"Kootenai County, ID"	"16055"	"White"	"2106-3"	583	639827	91.1184	83.7219	98.5149	3.7737	0.0542%
	"Latah County, ID"	"16057"	"White"	"2106-3"	69	149018	46.3031	36.0266	58.5994	5.5742	0.0064%
	"Lemhi County, ID"	"16059"	"White"	"2106-3"	52	30829	168.6724	125.9729	221.1919	23.3906	0.0048%
	"Lewis County, ID"	"16061"	"White"	"2106-3"	34	13307	255.5046	176.9446	357.0422	43.8187	0.0032%
	"Lincoln County, ID"	"16063"	"White"	"2106-3"	24	20133	119.2073	76.3785	177.3709	24.3331	0.0022%
	"Madison County, ID"	"16065"	"White"	"2106-3"	56	164612	34.0194	25.6979	44.1769	4.5460	0.0052%
	"Minidoka County, ID"	"16067"	"White"	"2106-3"	79	80095	98.6329	78.0886	122.9262	11.0971	0.0073%
	"Nez Perce County, ID"	"16069"	"White"	"2106-3"	203	147152	137.9526	118.9751	156.9300	9.6824	0.0189%
	"Oneida County, ID"	"16071"	"White"	"2106-3"	23	17630	130.4594	82.6995	195.7531	27.2027	0.0021%
	"Owyhee County, ID"	"16073"	"White"	"2106-3"	46	44042	104.4458	76.4679	139.3160	15.3997	0.0043%
	"Payette County, ID"	"16075"	"White"	"2106-3"	98	92507	105.9379	86.0057	129.1044	10.7013	0.0091%
	"Power County, ID"	"16077"	"White"	"2106-3"	39	28521	136.7413	97.2368	186.9295	21.8961	0.0036%
	"Shoshone County, ID"	"16079"	"White"	"2106-3"	98	49082	199.6659	162.0987	243.3288	20.1693	0.0091%
	"Teton County, ID"	"16081"	"White"	"2106-3"	15	46810	Unreliable	17.9349	52.8525	8.2738	0.0014%
	"Twin Falls County, ID"	"16083"	"White"	"2106-3"	394	330920	119.0620	107.3054	130.8186	5.9983	0.0367%
	"Valley County, ID"	"16085"	"White"	"2106-3"	23	44555	51.6216	32.7234	77.4577	10.7638	0.0021%
	"Washington County, ID"	"16087"	"White"	"2106-3"	68	39211	173.4207	134.6681	219.8524	21.0304	0.0063%
	"Adams County, IL"	"17001"	"White"	"2106-3"	369	241606	152.7280	137.1446	168.3114	7.9507	0.0343%
	"Alexander County, IL"	"17003"	"Black or African American"	"2054-5"	16	7043	Unreliable	129.8515	368.9201	56.7940	0.0015%
	"Alexander County, IL"	"17003"	"White"	"2106-3"	34	14513	234.2727	162.2409	327.3727	40.1774	0.0032%
	"Bond County, IL"	"17005"	"White"	"2106-3"	59	59648	98.9136	75.2980	127.5917	12.8775	0.0055%
	"Boone County, IL"	"17007"	"White"	"2106-3"	169	196851	85.8517	72.9079	98.7955	6.6040	0.0157%
	"Brown County, IL"	"17009"	"White"	"2106-3"	24	20329	118.0579	75.6421	175.6608	24.0985	0.0022%
	"Bureau County, IL"	"17011"	"White"	"2106-3"	154	125424	122.7835	103.3909	142.1761	9.8942	0.0143%
	"Calhoun County, IL"	"17013"	"White"	"2106-3"	18	18197	Unreliable	58.6244	156.3320	23.3151	0.0017%
	"Carroll County, IL"	"17015"	"White"	"2106-3"	74	56280	131.4854	103.2450	165.0681	15.2849	0.0069%
	"Cass County, IL"	"17017"	"White"	"2106-3"	74	44926	164.7153	129.3378	206.7852	19.1478	0.0069%
	"Champaign County, IL"	"17019"	"Black or African American"	"2054-5"	59	116623	50.5904	38.5119	65.2580	6.5863	0.0055%
	"Champaign County, IL"	"17019"	"White"	"2106-3"	464	597838	77.6130	70.5509	84.6751	3.6031	0.0432%
	"Christian County, IL"	"17021"	"White"	"2106-3"	215	125723	171.0109	148.1517	193.8700	11.6628	0.0200%
	"Clark County, IL"	"17023"	"White"	"2106-3"	83	60270	137.7136	109.6875	170.7167	15.1160	0.0077%
	"Clay County, IL"	"17025"	"White"	"2106-3"	75	51184	146.5302	115.2548	183.6770	16.9198	0.0070%
	"Clinton County, IL"	"17027"	"White"	"2106-3"	138	140309	98.3543	81.9443	114.7644	8.3725	0.0128%
	"Coles County, IL"	"17029"	"White"	"2106-3"	242	184030	131.5003	114.9321	148.0685	8.4532	0.0225%
	"Cook County, IL"	"17031"	"Asian"	"A"	428	1647240	25.9829	23.5212	28.4445	1.2559	0.0398%
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	3928	4908295	80.0278	77.5251	82.5305	1.2769	0.3654%
	"Cook County, IL"	"17031"	"White"	"2106-3"	8327	13460147	61.8641	60.5353	63.1929	0.6779	0.7746%
	"Cook County, IL"	"17031"	"More than one race"	"M"	43	427222	10.0650	7.2841	13.5575	1.5349	0.0040%
	"Crawford County, IL"	"17033"	"White"	"2106-3"	80	69011	115.9235	91.9204	144.2773	12.9606	0.0074%
	"Cumberland County, IL"	"17035"	"White"	"2106-3"	57	41440	137.5483	104.1777	178.2103	18.2187	0.0053%
	"DeKalb County, IL"	"17037"	"White"	"2106-3"	322	356041	90.4390	80.5607	100.3174	5.0400	0.0300%
	"De Witt County, IL"	"17039"	"White"	"2106-3"	99	60138	164.6214	133.7960	200.4199	16.5451	0.0092%
	"Douglas County, IL"	"17041"	"White"	"2106-3"	87	75622	115.0459	92.1472	141.9091	12.3342	0.0081%
	"DuPage County, IL"	"17043"	"Asian"	"A"	111	476471	23.2963	18.9624	27.6302	2.2112	0.0103%
	"DuPage County, IL"	"17043"	"Black or African American"	"2054-5"	70	196811	35.5671	27.7263	44.9369	4.2511	0.0065%
	"DuPage County, IL"	"17043"	"White"	"2106-3"	2035	2925834	69.5528	66.5309	72.5748	1.5418	0.1893%
	"Edgar County, IL"	"17045"	"White"	"2106-3"	92	66337	138.6858	111.8002	170.0857	14.4590	0.0086%
	"Edwards County, IL"	"17047"	"White"	"2106-3"	32	24512	130.5483	89.2950	184.2950	23.0779	0.0030%
	"Effingham County, IL"	"17049"	"White"	"2106-3"	167	133154	125.4187	106.3965	144.4409	9.7052	0.0155%
	"Fayette County, IL"	"17051"	"White"	"2106-3"	116	79864	145.2469	118.8147	171.6792	13.4858	0.0108%
	"Ford County, IL"	"17053"	"White"	"2106-3"	91	50668	179.6005	144.6036	220.5099	18.8273	0.0085%
	"Franklin County, IL"	"17055"	"White"	"2106-3"	298	148201	201.0783	178.2479	223.9086	11.6482	0.0277%
	"Fulton County, IL"	"17057"	"White"	"2106-3"	206	127442	161.6422	139.5684	183.7160	11.2621	0.0192%
	"Gallatin County, IL"	"17059"	"White"	"2106-3"	46	18939	242.8851	177.8234	323.9747	35.8114	0.0043%
	"Greene County, IL"	"17061"	"White"	"2106-3"	76	49147	154.6381	121.8378	193.5528	17.7382	0.0071%
	"Grundy County, IL"	"17063"	"White"	"2106-3"	165	196425	84.0015	71.1841	96.8190	6.5395	0.0153%
	"Hamilton County, IL"	"17065"	"White"	"2106-3"	59	31361	188.1318	143.2153	242.6768	24.4927	0.0055%
	"Hancock County, IL"	"17067"	"White"	"2106-3"	83	68503	121.1626	96.5048	150.1992	13.2993	0.0077%
	"Hardin County, IL"	"17069"	"White"	"2106-3"	36	14676	245.2984	171.8046	339.5961	40.8831	0.0033%
	"Henderson County, IL"	"17071"	"White"	"2106-3"	36	25469	141.3483	98.9989	195.6854	23.5581	0.0033%
	"Henry County, IL"	"17073"	"White"	"2106-3"	204	186501	109.3828	94.3725	124.3931	7.6583	0.0190%
	"Iroquois County, IL"	"17075"	"White"	"2106-3"	125	104309	119.8363	98.8280	140.8445	10.7185	0.0116%
	"Jackson County, IL"	"17077"	"Black or African American"	"2054-5"	16	34363	Unreliable	26.6142	75.6134	11.6404	0.0015%
	"Jackson County, IL"	"17077"	"White"	"2106-3"	205	173162	118.3863	102.1801	134.5924	8.2685	0.0191%
	"Jasper County, IL"	"17079"	"White"	"2106-3"	38	37235	102.0545	72.2199	140.0780	16.5554	0.0035%
	"Jefferson County, IL"	"17081"	"White"	"2106-3"	201	130600	153.9051	132.6280	175.1821	10.8556	0.0187%
	"Jersey County, IL"	"17083"	"White"	"2106-3"	116	83631	138.7045	113.4629	163.9462	12.8784	0.0108%
	"Jo Daviess County, IL"	"17085"	"White"	"2106-3"	75	83365	89.9658	70.7635	112.7730	10.3884	0.0070%
	"Johnson County, IL"	"17087"	"White"	"2106-3"	85	45932	185.0562	147.8155	228.8257	20.0722	0.0079%
	"Kane County, IL"	"17089"	"Asian"	"A"	25	93778	26.6587	17.2522	39.3536	5.3317	0.0023%
