"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Harris County, GA"	"13145"	"2019"	"2019"	18	35236	Unreliable	30.2755	80.7349	12.0406	0.0017%
	"Harris County, GA"	"13145"	"2020"	"2020"	31	36080	85.9202	58.3785	121.9568	15.4317	0.0029%
	"Harris County, GA"	"13145"	"2021 "	"2021"	31	35626	87.0151	59.1224	123.5110	15.6284	0.0029%
	"Hart County, GA"	"13147"	"2018"	"2018"	32	26099	122.6101	83.8653	173.0886	21.6746	0.0030%
	"Hart County, GA"	"13147"	"2019"	"2019"	35	26205	133.5623	93.0315	185.7531	22.5761	0.0033%
	"Hart County, GA"	"13147"	"2020"	"2020"	28	26406	106.0365	70.4602	153.2524	20.0390	0.0026%
	"Hart County, GA"	"13147"	"2021 "	"2021"	34	26409	128.7440	89.1591	179.9068	22.0794	0.0032%
	"Heard County, GA"	"13149"	"2018"	"2018"	24	11879	202.0372	129.4493	300.6152	41.2407	0.0022%
	"Heard County, GA"	"13149"	"2019"	"2019"	15	11923	Unreliable	70.4131	207.5002	32.4833	0.0014%
	"Heard County, GA"	"13149"	"2020"	"2020"	17	11973	Unreliable	82.7126	227.3340	34.4367	0.0016%
	"Heard County, GA"	"13149"	"2021 "	"2021"	18	11565	Unreliable	92.2428	245.9813	36.6852	0.0017%
	"Henry County, GA"	"13151"	"2018"	"2018"	176	230220	76.4486	65.1541	87.7432	5.7625	0.0164%
	"Henry County, GA"	"13151"	"2019"	"2019"	170	234561	72.4758	61.5809	83.3708	5.5586	0.0158%
	"Henry County, GA"	"13151"	"2020"	"2020"	174	239139	72.7610	61.9497	83.5724	5.5160	0.0162%
	"Henry County, GA"	"13151"	"2021 "	"2021"	169	245235	68.9135	58.5235	79.3035	5.3010	0.0157%
	"Houston County, GA"	"13153"	"2018"	"2018"	144	155469	92.6230	77.4945	107.7514	7.7186	0.0134%
	"Houston County, GA"	"13153"	"2019"	"2019"	134	157863	84.8837	70.5114	99.2561	7.3328	0.0125%
	"Houston County, GA"	"13153"	"2020"	"2020"	151	160110	94.3102	79.2675	109.3529	7.6749	0.0140%
	"Houston County, GA"	"13153"	"2021 "	"2021"	149	166829	89.3130	74.9721	103.6540	7.3168	0.0139%
	"Irwin County, GA"	"13155"	"2018"	"2018"	17	9398	Unreliable	105.3754	289.6223	43.8722	0.0016%
	"Irwin County, GA"	"13155"	"2019"	"2019"	10	9416	Unreliable	50.9282	195.3101	33.5841	0.0009%
	"Irwin County, GA"	"13155"	"2020"	"2020"	11	9387	Unreliable	58.4979	209.6738	35.3321	0.0010%
	"Irwin County, GA"	"13155"	"2021 "	"2021"	12	9618	Unreliable	64.4679	217.9414	36.0169	0.0011%
	"Jackson County, GA"	"13157"	"2018"	"2018"	71	70422	100.8208	78.7420	127.1713	11.9652	0.0066%
	"Jackson County, GA"	"13157"	"2019"	"2019"	57	72977	78.1068	59.1573	101.1967	10.3455	0.0053%
	"Jackson County, GA"	"13157"	"2020"	"2020"	78	76199	102.3635	80.9143	127.7548	11.5904	0.0073%
	"Jackson County, GA"	"13157"	"2021 "	"2021"	66	80286	82.2061	63.5782	104.5867	10.1189	0.0061%
	"Jasper County, GA"	"13159"	"2018"	"2018"	15	14040	Unreliable	59.7959	176.2126	27.5854	0.0014%
	"Jasper County, GA"	"13159"	"2020"	"2020"	13	14483	Unreliable	47.7938	153.4930	24.8951	0.0012%
	"Jasper County, GA"	"13159"	"2021 "	"2021"	12	15278	Unreliable	40.5846	137.2012	22.6738	0.0011%
	"Jeff Davis County, GA"	"13161"	"2018"	"2018"	22	15029	146.3837	91.7372	221.6263	31.2091	0.0020%
	"Jeff Davis County, GA"	"13161"	"2019"	"2019"	15	15115	Unreliable	55.5432	163.6801	25.6234	0.0014%
	"Jeff Davis County, GA"	"13161"	"2020"	"2020"	22	15213	144.6132	90.6276	218.9458	30.8316	0.0020%
	"Jeff Davis County, GA"	"13161"	"2021 "	"2021"	26	14872	174.8252	114.2010	256.1591	34.2860	0.0024%
	"Jefferson County, GA"	"13163"	"2018"	"2018"	20	15430	129.6176	79.1743	200.1841	28.9834	0.0019%
	"Jefferson County, GA"	"13163"	"2019"	"2019"	16	15362	Unreliable	59.5329	169.1384	26.0383	0.0015%
	"Jefferson County, GA"	"13163"	"2020"	"2020"	18	15267	Unreliable	69.8754	186.3348	27.7896	0.0017%
	"Jefferson County, GA"	"13163"	"2021 "	"2021"	20	15524	128.8328	78.6949	198.9719	28.8079	0.0019%
	"Jenkins County, GA"	"13165"	"2019"	"2019"	10	8676	Unreliable	55.2720	211.9686	36.4486	0.0009%
	"Johnson County, GA"	"13167"	"2018"	"2018"	15	9708	Unreliable	86.4787	254.8439	39.8948	0.0014%
	"Johnson County, GA"	"13167"	"2019"	"2019"	20	9643	207.4043	126.6888	320.3194	46.3770	0.0019%
	"Johnson County, GA"	"13167"	"2021 "	"2021"	21	9160	229.2576	141.9151	350.4455	50.0281	0.0020%
	"Jones County, GA"	"13169"	"2018"	"2018"	39	28616	136.2874	96.9140	186.3090	21.8234	0.0036%
	"Jones County, GA"	"13169"	"2019"	"2019"	35	28735	121.8027	84.8404	169.3983	20.5884	0.0033%
	"Jones County, GA"	"13169"	"2020"	"2020"	39	28787	135.4778	96.3383	185.2022	21.6938	0.0036%
	"Jones County, GA"	"13169"	"2021 "	"2021"	31	28400	109.1549	74.1653	154.9367	19.6048	0.0029%
	"Lamar County, GA"	"13171"	"2018"	"2018"	32	19000	168.4211	115.2000	237.7600	29.7729	0.0030%
	"Lamar County, GA"	"13171"	"2019"	"2019"	21	19077	110.0802	68.1418	168.2697	24.0215	0.0020%
	"Lamar County, GA"	"13171"	"2020"	"2020"	29	19261	150.5633	100.8353	216.2345	27.9589	0.0027%
	"Lamar County, GA"	"13171"	"2021 "	"2021"	31	19080	162.4738	110.3928	230.6186	29.1812	0.0029%
	"Lanier County, GA"	"13173"	"2019"	"2019"	13	10423	Unreliable	66.4106	213.2821	34.5923	0.0012%
	"Lanier County, GA"	"13173"	"2020"	"2020"	13	10737	Unreliable	64.4685	207.0447	33.5806	0.0012%
	"Lanier County, GA"	"13173"	"2021 "	"2021"	10	9907	Unreliable	48.4042	185.6304	31.9196	0.0009%
	"Laurens County, GA"	"13175"	"2018"	"2018"	63	47325	133.1220	102.2950	170.3203	16.7718	0.0059%
	"Laurens County, GA"	"13175"	"2019"	"2019"	74	47546	155.6387	122.2107	195.3904	18.0926	0.0069%
	"Laurens County, GA"	"13175"	"2020"	"2020"	98	47512	206.2637	167.4552	251.3694	20.8358	0.0091%
	"Laurens County, GA"	"13175"	"2021 "	"2021"	91	49547	183.6640	147.8752	225.4990	19.2532	0.0085%
	"Lee County, GA"	"13177"	"2018"	"2018"	29	29764	97.4331	65.2529	139.9306	18.0929	0.0027%
	"Lee County, GA"	"13177"	"2019"	"2019"	21	29992	70.0187	43.3430	107.0312	15.2793	0.0020%
	"Lee County, GA"	"13177"	"2020"	"2020"	22	30234	72.7658	45.6016	110.1681	15.5137	0.0020%
	"Lee County, GA"	"13177"	"2021 "	"2021"	27	33411	80.8117	53.2557	117.5770	15.5522	0.0025%
	"Liberty County, GA"	"13179"	"2018"	"2018"	43	61497	69.9221	50.6026	94.1844	10.6630	0.0040%
	"Liberty County, GA"	"13179"	"2019"	"2019"	21	61435	34.1825	21.1596	52.2517	7.4592	0.0020%
	"Liberty County, GA"	"13179"	"2020"	"2020"	40	63004	63.4880	45.3565	86.4529	10.0383	0.0037%
	"Liberty County, GA"	"13179"	"2021 "	"2021"	56	65711	85.2217	64.3756	110.6671	11.3882	0.0052%
	"Lincoln County, GA"	"13181"	"2018"	"2018"	11	7915	Unreliable	69.3771	248.6681	41.9030	0.0010%
	"Lincoln County, GA"	"13181"	"2019"	"2019"	12	7921	Unreliable	78.2795	264.6333	43.7331	0.0011%
	"Lincoln County, GA"	"13181"	"2021 "	"2021"	11	7749	Unreliable	70.8633	253.9951	42.8007	0.0010%
	"Long County, GA"	"13183"	"2018"	"2018"	17	18998	Unreliable	52.1275	143.2714	21.7028	0.0016%
	"Long County, GA"	"13183"	"2019"	"2019"	14	19559	Unreliable	39.1326	120.0962	19.1301	0.0013%
	"Long County, GA"	"13183"	"2020"	"2020"	13	20171	Unreliable	34.3165	110.2097	17.8749	0.0012%
	"Long County, GA"	"13183"	"2021 "	"2021"	20	17152	116.6045	71.2255	180.0863	26.0736	0.0019%
	"Lowndes County, GA"	"13185"	"2018"	"2018"	97	116321	83.3899	67.6234	101.7290	8.4670	0.0090%
	"Lowndes County, GA"	"13185"	"2019"	"2019"	109	117406	92.8402	75.4110	110.2695	8.8925	0.0101%
	"Lowndes County, GA"	"13185"	"2020"	"2020"	104	118268	87.9359	71.0351	104.8366	8.6228	0.0097%
	"Lowndes County, GA"	"13185"	"2021 "	"2021"	111	119276	93.0615	75.7488	110.3742	8.8330	0.0103%
	"Lumpkin County, GA"	"13187"	"2018"	"2018"	40	32955	121.3776	86.7134	165.2824	19.1915	0.0037%
	"Lumpkin County, GA"	"13187"	"2019"	"2019"	26	33610	77.3579	50.5325	113.3472	15.1711	0.0024%
	"Lumpkin County, GA"	"13187"	"2020"	"2020"	29	34186	84.8300	56.8124	121.8304	15.7525	0.0027%
	"Lumpkin County, GA"	"13187"	"2021 "	"2021"	36	34278	105.0236	73.5575	145.3968	17.5039	0.0033%
	"McDuffie County, GA"	"13189"	"2018"	"2018"	34	21531	157.9118	109.3587	220.6660	27.0817	0.0032%
	"McDuffie County, GA"	"13189"	"2019"	"2019"	39	21312	182.9955	130.1281	250.1603	29.3027	0.0036%
	"McDuffie County, GA"	"13189"	"2020"	"2020"	29	21162	137.0381	91.7771	196.8100	25.4473	0.0027%
	"McDuffie County, GA"	"13189"	"2021 "	"2021"	22	21633	101.6965	63.7322	153.9695	21.6818	0.0020%
	"McIntosh County, GA"	"13191"	"2018"	"2018"	13	14340	Unreliable	48.2704	155.0236	25.1433	0.0012%
	"McIntosh County, GA"	"13191"	"2019"	"2019"	10	14378	Unreliable	33.3523	127.9065	21.9939	0.0009%
	"McIntosh County, GA"	"13191"	"2020"	"2020"	18	14387	Unreliable	74.1494	197.7323	29.4894	0.0017%
	"McIntosh County, GA"	"13191"	"2021 "	"2021"	15	11123	Unreliable	75.4774	222.4243	34.8196	0.0014%
	"Macon County, GA"	"13193"	"2018"	"2018"	13	13143	Unreliable	52.6667	169.1424	27.4332	0.0012%
	"Macon County, GA"	"13193"	"2019"	"2019"	18	12947	Unreliable	82.3965	219.7246	32.7693	0.0017%
	"Macon County, GA"	"13193"	"2020"	"2020"	20	12712	157.3317	96.1029	242.9862	35.1804	0.0019%
	"Macon County, GA"	"13193"	"2021 "	"2021"	19	12004	Unreliable	95.2960	247.1741	36.3121	0.0018%
	"Madison County, GA"	"13195"	"2018"	"2018"	41	29650	138.2799	99.2324	187.5919	21.5957	0.0038%
	"Madison County, GA"	"13195"	"2019"	"2019"	37	29880	123.8286	87.1865	170.6817	20.3573	0.0034%
	"Madison County, GA"	"13195"	"2020"	"2020"	37	30457	121.4827	85.5348	167.4482	19.9716	0.0034%
	"Madison County, GA"	"13195"	"2021 "	"2021"	25	30885	80.9454	52.3838	119.4917	16.1891	0.0023%
	"Marion County, GA"	"13197"	"2018"	"2018"	10	8351	Unreliable	57.4231	220.2179	37.8671	0.0009%
	"Marion County, GA"	"13197"	"2019"	"2019"	10	8359	Unreliable	57.3681	220.0072	37.8308	0.0009%
	"Marion County, GA"	"13197"	"2020"	"2020"	10	8516	Unreliable	56.3105	215.9512	37.1334	0.0009%
	"Meriwether County, GA"	"13199"	"2018"	"2018"	12	21068	Unreliable	29.4310	99.4950	16.4425	0.0011%
	"Meriwether County, GA"	"13199"	"2019"	"2019"	27	21167	127.5570	84.0614	185.5891	24.5484	0.0025%
	"Meriwether County, GA"	"13199"	"2020"	"2020"	24	21164	113.4001	72.6577	168.7303	23.1477	0.0022%
	"Meriwether County, GA"	"13199"	"2021 "	"2021"	34	20793	163.5166	113.2401	228.4981	28.0429	0.0032%
	"Miller County, GA"	"13201"	"2018"	"2018"	18	5686	Unreliable	187.6166	500.3120	74.6156	0.0017%
	"Miller County, GA"	"13201"	"2019"	"2019"	11	5718	Unreliable	96.0336	344.2127	58.0032	0.0010%
	"Mitchell County, GA"	"13205"	"2018"	"2018"	26	22192	117.1593	76.5320	171.6654	22.9768	0.0024%
	"Mitchell County, GA"	"13205"	"2019"	"2019"	31	21863	141.7921	96.3406	201.2625	25.4666	0.0029%
	"Mitchell County, GA"	"13205"	"2020"	"2020"	36	21602	166.6512	116.7209	230.7153	27.7752	0.0033%
	"Mitchell County, GA"	"13205"	"2021 "	"2021"	17	21521	Unreliable	46.0164	126.4751	19.1585	0.0016%
	"Monroe County, GA"	"13207"	"2018"	"2018"	42	27520	152.6163	109.9921	206.2930	23.5492	0.0039%
	"Monroe County, GA"	"13207"	"2019"	"2019"	28	27578	101.5302	67.4658	146.7396	19.1874	0.0026%
	"Monroe County, GA"	"13207"	"2020"	"2020"	50	28042	178.3040	132.3408	235.0724	25.2160	0.0047%
	"Monroe County, GA"	"13207"	"2021 "	"2021"	31	28712	107.9688	73.3594	153.2531	19.3918	0.0029%
	"Montgomery County, GA"	"13209"	"2018"	"2018"	17	9193	Unreliable	107.7252	296.0807	44.8505	0.0016%
	"Montgomery County, GA"	"13209"	"2019"	"2019"	13	9172	Unreliable	75.4686	242.3723	39.3104	0.0012%
	"Montgomery County, GA"	"13209"	"2020"	"2020"	14	9012	Unreliable	84.9305	260.6482	41.5186	0.0013%
	"Montgomery County, GA"	"13209"	"2021 "	"2021"	13	8653	Unreliable	79.9951	256.9096	41.6682	0.0012%
	"Morgan County, GA"	"13211"	"2018"	"2018"	16	18853	Unreliable	48.5092	137.8191	21.2168	0.0015%
	"Morgan County, GA"	"13211"	"2019"	"2019"	14	19276	Unreliable	39.7071	121.8594	19.4110	0.0013%
	"Morgan County, GA"	"13211"	"2020"	"2020"	15	19636	Unreliable	42.7549	125.9943	19.7239	0.0014%
	"Morgan County, GA"	"13211"	"2021 "	"2021"	23	20635	111.4611	70.6563	167.2463	23.2412	0.0021%
	"Murray County, GA"	"13213"	"2018"	"2018"	47	39921	117.7325	86.5051	156.5595	17.1731	0.0044%
	"Murray County, GA"	"13213"	"2019"	"2019"	52	40096	129.6887	96.8580	170.0699	17.9846	0.0048%
	"Murray County, GA"	"13213"	"2020"	"2020"	46	40032	114.9081	84.1276	153.2713	16.9423	0.0043%
	"Murray County, GA"	"13213"	"2021 "	"2021"	55	39951	137.6686	103.7113	179.1950	18.5632	0.0051%
	"Muscogee County, GA"	"13215"	"2018"	"2018"	184	194160	94.7672	81.0740	108.4604	6.9863	0.0171%
	"Muscogee County, GA"	"13215"	"2019"	"2019"	176	195769	89.9019	76.6197	103.1840	6.7766	0.0164%
	"Muscogee County, GA"	"13215"	"2020"	"2020"	186	196442	94.6844	81.0769	108.2919	6.9426	0.0173%
	"Muscogee County, GA"	"13215"	"2021 "	"2021"	167	205617	81.2190	68.9005	93.5374	6.2849	0.0155%
	"Newton County, GA"	"13217"	"2018"	"2018"	94	109541	85.8126	69.3452	105.0132	8.8509	0.0087%
	"Newton County, GA"	"13217"	"2019"	"2019"	88	111744	78.7514	63.1610	97.0241	8.3949	0.0082%
	"Newton County, GA"	"13217"	"2020"	"2020"	103	113295	90.9131	73.3556	108.4707	8.9579	0.0096%
	"Newton County, GA"	"13217"	"2021 "	"2021"	98	115355	84.9551	68.9708	103.5331	8.5818	0.0091%
	"Oconee County, GA"	"13219"	"2018"	"2018"	29	39272	73.8440	49.4548	106.0525	13.7125	0.0027%
	"Oconee County, GA"	"13219"	"2019"	"2019"	22	40280	54.6177	34.2284	82.6917	11.6445	0.0020%
	"Oconee County, GA"	"13219"	"2020"	"2020"	33	41124	80.2451	55.2367	112.6938	13.9689	0.0031%
	"Oconee County, GA"	"13219"	"2021 "	"2021"	24	43023	55.7841	35.7420	83.0023	11.3869	0.0022%
	"Oglethorpe County, GA"	"13221"	"2018"	"2018"	17	15054	Unreliable	65.7844	180.8071	27.3888	0.0016%
	"Oglethorpe County, GA"	"13221"	"2019"	"2019"	14	15259	Unreliable	50.1602	153.9394	24.5210	0.0013%
	"Oglethorpe County, GA"	"13221"	"2020"	"2020"	28	15383	182.0191	120.9499	263.0686	34.3984	0.0026%
	"Oglethorpe County, GA"	"13221"	"2021 "	"2021"	12	15140	Unreliable	40.9546	138.4518	22.8805	0.0011%
	"Paulding County, GA"	"13223"	"2018"	"2018"	87	164044	53.0346	42.4786	65.4181	5.6859	0.0081%
	"Paulding County, GA"	"13223"	"2019"	"2019"	87	168667	51.5809	41.3143	63.6251	5.5301	0.0081%
	"Paulding County, GA"	"13223"	"2020"	"2020"	111	173359	64.0290	52.1174	75.9406	6.0774	0.0103%
	"Paulding County, GA"	"13223"	"2021 "	"2021"	108	173780	62.1475	50.4264	73.8686	5.9802	0.0100%
	"Peach County, GA"	"13225"	"2018"	"2018"	35	27297	128.2192	89.3098	178.3222	21.6730	0.0033%
	"Peach County, GA"	"13225"	"2019"	"2019"	37	27546	134.3208	94.5739	185.1437	22.0822	0.0034%
	"Peach County, GA"	"13225"	"2020"	"2020"	36	27950	128.8014	90.2112	178.3153	21.4669	0.0033%
	"Peach County, GA"	"13225"	"2021 "	"2021"	22	28417	77.4184	48.5174	117.2123	16.5057	0.0020%
	"Pickens County, GA"	"13227"	"2018"	"2018"	33	31980	103.1895	71.0305	144.9162	17.9630	0.0031%
	"Pickens County, GA"	"13227"	"2019"	"2019"	39	32591	119.6649	85.0937	163.5856	19.1617	0.0036%
	"Pickens County, GA"	"13227"	"2020"	"2020"	52	33127	156.9717	117.2343	205.8479	21.7681	0.0048%
	"Pickens County, GA"	"13227"	"2021 "	"2021"	41	34024	120.5032	86.4755	163.4758	18.8194	0.0038%
	"Pierce County, GA"	"13229"	"2018"	"2018"	29	19389	149.5693	100.1696	214.8070	27.7743	0.0027%
	"Pierce County, GA"	"13229"	"2019"	"2019"	23	19465	118.1608	74.9033	177.2991	24.6382	0.0021%
	"Pierce County, GA"	"13229"	"2020"	"2020"	33	19522	169.0401	116.3587	237.3948	29.4261	0.0031%
	"Pierce County, GA"	"13229"	"2021 "	"2021"	28	19976	140.1682	93.1404	202.5823	26.4893	0.0026%
	"Pike County, GA"	"13231"	"2018"	"2018"	21	18634	112.6972	69.7618	172.2701	24.5925	0.0020%
	"Pike County, GA"	"13231"	"2019"	"2019"	26	18962	137.1163	89.5685	200.9070	26.8907	0.0024%
	"Pike County, GA"	"13231"	"2020"	"2020"	27	19121	141.2060	93.0562	205.4477	27.1751	0.0025%
	"Pike County, GA"	"13231"	"2021 "	"2021"	19	19477	Unreliable	58.7325	152.3375	22.3797	0.0018%
	"Polk County, GA"	"13233"	"2018"	"2018"	56	42470	131.8578	99.6040	171.2279	17.6202	0.0052%
	"Polk County, GA"	"13233"	"2019"	"2019"	69	42613	161.9224	125.9854	204.9225	19.4932	0.0064%
	"Polk County, GA"	"13233"	"2020"	"2020"	64	42840	149.3931	115.0506	190.7720	18.6741	0.0060%
	"Polk County, GA"	"13233"	"2021 "	"2021"	71	43496	163.2334	127.4869	205.8961	19.3722	0.0066%
	"Pulaski County, GA"	"13235"	"2019"	"2019"	11	11137	Unreliable	49.3059	176.7269	29.7802	0.0010%
	"Pulaski County, GA"	"13235"	"2021 "	"2021"	16	9917	Unreliable	92.2198	262.0050	40.3348	0.0015%
	"Putnam County, GA"	"13237"	"2018"	"2018"	25	21809	114.6316	74.1838	169.2191	22.9263	0.0023%
	"Putnam County, GA"	"13237"	"2019"	"2019"	16	22119	Unreliable	41.3465	117.4693	18.0840	0.0015%
	"Putnam County, GA"	"13237"	"2020"	"2020"	32	22520	142.0959	97.1936	200.5968	25.1192	0.0030%
	"Putnam County, GA"	"13237"	"2021 "	"2021"	24	22585	106.2652	68.0863	158.1141	21.6913	0.0022%
	"Rabun County, GA"	"13241"	"2018"	"2018"	30	16867	177.8621	120.0036	253.9088	32.4730	0.0028%
	"Rabun County, GA"	"13241"	"2019"	"2019"	16	17137	Unreliable	53.3666	151.6195	23.3413	0.0015%
	"Rabun County, GA"	"13241"	"2020"	"2020"	25	17273	144.7346	93.6650	213.6572	28.9469	0.0023%
	"Rabun County, GA"	"13241"	"2021 "	"2021"	28	17119	163.5610	108.6846	236.3914	30.9101	0.0026%
	"Randolph County, GA"	"13243"	"2020"	"2020"	10	6682	Unreliable	71.7659	275.2230	47.3253	0.0009%
	"Randolph County, GA"	"13243"	"2021 "	"2021"	11	6287	Unreliable	87.3421	313.0600	52.7537	0.0010%
	"Richmond County, GA"	"13245"	"2018"	"2018"	165	201554	81.8639	69.3726	94.3552	6.3731	0.0153%
	"Richmond County, GA"	"13245"	"2019"	"2019"	190	202518	93.8188	80.4784	107.1592	6.8063	0.0177%
	"Richmond County, GA"	"13245"	"2020"	"2020"	210	202079	103.9198	89.8643	117.9752	7.1711	0.0195%
	"Richmond County, GA"	"13245"	"2021 "	"2021"	210	205673	102.1038	88.2940	115.9137	7.0458	0.0195%
	"Rockdale County, GA"	"13247"	"2018"	"2018"	85	90594	93.8252	74.9438	116.0167	10.1768	0.0079%
	"Rockdale County, GA"	"13247"	"2019"	"2019"	87	90896	95.7138	76.6629	118.0630	10.2616	0.0081%
	"Rockdale County, GA"	"13247"	"2020"	"2020"	81	90939	89.0707	70.7346	110.7069	9.8967	0.0075%
	"Rockdale County, GA"	"13247"	"2021 "	"2021"	55	94082	58.4596	44.0400	76.0934	7.8827	0.0051%
	"Screven County, GA"	"13251"	"2018"	"2018"	18	13938	Unreliable	76.5381	204.1020	30.4394	0.0017%
	"Screven County, GA"	"13251"	"2019"	"2019"	25	13966	179.0062	115.8438	264.2489	35.8012	0.0023%
	"Screven County, GA"	"13251"	"2020"	"2020"	20	14012	142.7348	87.1867	220.4425	31.9165	0.0019%
	"Screven County, GA"	"13251"	"2021 "	"2021"	21	14105	148.8834	92.1618	227.5846	32.4890	0.0020%
	"Seminole County, GA"	"13253"	"2018"	"2018"	12	8315	Unreliable	74.5703	252.0938	41.6609	0.0011%
	"Seminole County, GA"	"13253"	"2019"	"2019"	13	8090	Unreliable	85.5622	274.7885	44.5680	0.0012%
	"Seminole County, GA"	"13253"	"2020"	"2020"	26	8060	322.5806	210.7194	472.6548	63.2633	0.0024%
	"Spalding County, GA"	"13255"	"2018"	"2018"	116	66100	175.4917	143.5555	207.4279	16.2940	0.0108%
	"Spalding County, GA"	"13255"	"2019"	"2019"	98	66703	146.9199	119.2769	179.0484	14.8412	0.0091%
	"Spalding County, GA"	"13255"	"2020"	"2020"	127	67414	188.3882	155.6233	221.1530	16.7167	0.0118%
	"Spalding County, GA"	"13255"	"2021 "	"2021"	98	67909	144.3108	117.1587	175.8686	14.5776	0.0091%
	"Stephens County, GA"	"13257"	"2018"	"2018"	35	26035	134.4344	93.6389	186.9660	22.7236	0.0033%
	"Stephens County, GA"	"13257"	"2019"	"2019"	46	25925	177.4349	129.9054	236.6733	26.1613	0.0043%
	"Stephens County, GA"	"13257"	"2020"	"2020"	40	26107	153.2156	109.4588	208.6368	24.2255	0.0037%
	"Stephens County, GA"	"13257"	"2021 "	"2021"	43	26865	160.0596	115.8351	215.5986	24.4089	0.0040%
	"Stewart County, GA"	"13259"	"2019"	"2019"	11	6621	Unreliable	82.9361	297.2675	50.0925	0.0010%
	"Sumter County, GA"	"13261"	"2018"	"2018"	31	29733	104.2613	70.8403	147.9905	18.7259	0.0029%
	"Sumter County, GA"	"13261"	"2019"	"2019"	26	29524	88.0639	57.5260	129.0339	17.2708	0.0024%
	"Sumter County, GA"	"13261"	"2020"	"2020"	26	29282	88.7917	58.0014	130.1003	17.4135	0.0024%
	"Sumter County, GA"	"13261"	"2021 "	"2021"	34	29283	116.1083	80.4085	162.2498	19.9124	0.0032%
	"Talbot County, GA"	"13263"	"2018"	"2018"	10	6272	Unreliable	76.4573	293.2143	50.4190	0.0009%
	"Talbot County, GA"	"13263"	"2020"	"2020"	12	6143	Unreliable	100.9364	341.2274	56.3910	0.0011%
	"Tattnall County, GA"	"13267"	"2018"	"2018"	26	25391	102.3985	66.8898	150.0373	20.0820	0.0024%
	"Tattnall County, GA"	"13267"	"2019"	"2019"	27	25286	106.7785	70.3681	155.3573	20.5495	0.0025%
	"Tattnall County, GA"	"13267"	"2020"	"2020"	32	25365	126.1581	86.2921	178.0974	22.3018	0.0030%
	"Tattnall County, GA"	"13267"	"2021 "	"2021"	29	23052	125.8025	84.2525	180.6738	23.3609	0.0027%
	"Taylor County, GA"	"13269"	"2020"	"2020"	15	8074	Unreliable	103.9801	306.4188	47.9686	0.0014%
	"Taylor County, GA"	"13269"	"2021 "	"2021"	12	7799	Unreliable	79.5040	268.7729	44.4173	0.0011%
	"Telfair County, GA"	"13271"	"2018"	"2018"	13	15876	Unreliable	43.6003	140.0251	22.7107	0.0012%
	"Telfair County, GA"	"13271"	"2019"	"2019"	21	15860	132.4086	81.9636	202.4011	28.8939	0.0020%
	"Telfair County, GA"	"13271"	"2020"	"2020"	28	15781	177.4286	117.8995	256.4339	33.5308	0.0026%
	"Telfair County, GA"	"13271"	"2021 "	"2021"	19	12414	Unreliable	92.1486	239.0106	35.1128	0.0018%
	"Terrell County, GA"	"13273"	"2018"	"2018"	15	8611	Unreliable	97.4956	287.3098	44.9772	0.0014%
	"Terrell County, GA"	"13273"	"2021 "	"2021"	10	8964	Unreliable	53.4962	205.1584	35.2775	0.0009%
	"Thomas County, GA"	"13275"	"2018"	"2018"	61	44448	137.2390	104.9769	176.2890	17.5717	0.0057%
	"Thomas County, GA"	"13275"	"2019"	"2019"	64	44451	143.9788	110.8809	183.8580	17.9973	0.0060%
	"Thomas County, GA"	"13275"	"2020"	"2020"	70	44372	157.7571	122.9796	199.3167	18.8556	0.0065%
	"Thomas County, GA"	"13275"	"2021 "	"2021"	58	45842	126.5215	96.0729	163.5582	16.6131	0.0054%
	"Tift County, GA"	"13277"	"2018"	"2018"	53	40571	130.6352	97.8549	170.8734	17.9441	0.0049%
	"Tift County, GA"	"13277"	"2019"	"2019"	48	40644	118.0986	87.0765	156.5810	17.0461	0.0045%
	"Tift County, GA"	"13277"	"2020"	"2020"	40	40719	98.2342	70.1795	133.7675	15.5322	0.0037%
	"Tift County, GA"	"13277"	"2021 "	"2021"	41	41212	99.4856	71.3928	134.9631	15.5370	0.0038%
	"Toombs County, GA"	"13279"	"2018"	"2018"	29	26887	107.8588	72.2352	154.9036	20.0289	0.0027%
	"Toombs County, GA"	"13279"	"2019"	"2019"	42	26830	156.5412	112.8208	211.5983	24.1548	0.0039%
	"Toombs County, GA"	"13279"	"2020"	"2020"	41	26973	152.0039	109.0810	206.2100	23.7390	0.0038%
	"Toombs County, GA"	"13279"	"2021 "	"2021"	50	26911	185.7976	137.9027	244.9519	26.2758	0.0047%
	"Towns County, GA"	"13281"	"2018"	"2018"	29	11852	244.6844	163.8701	351.4085	45.4368	0.0027%
	"Towns County, GA"	"13281"	"2019"	"2019"	17	12037	Unreliable	82.2728	226.1253	34.2536	0.0016%
	"Towns County, GA"	"13281"	"2020"	"2020"	18	12247	Unreliable	87.1061	232.2833	34.6423	0.0017%
	"Towns County, GA"	"13281"	"2021 "	"2021"	23	12875	178.6408	113.2422	268.0487	37.2492	0.0021%
	"Treutlen County, GA"	"13283"	"2018"	"2018"	15	6809	Unreliable	123.2978	363.3463	56.8804	0.0014%
	"Troup County, GA"	"13285"	"2018"	"2018"	102	70034	145.6435	117.3787	173.9084	14.4209	0.0095%
