Notes,County,County Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,ID
,"Pierce County, WA",53053.0,Black or African American,2054-5,37.0,282723.0,13.0870,9.2144,18.0387,2.1515,0.0264%,methane
,"Pierce County, WA",53053.0,White,2106-3,259.0,2688506.0,9.6336,8.4603,10.8069,0.5986,0.1848%,methane
,"Pierce County, WA",53053.0,More than one race,M,17.0,275976.0,Unreliable,3.5884,9.8627,1.494,0.0121%,methane
,"Skagit County, WA",53057.0,White,2106-3,38.0,467947.0,8.1206,5.7466,11.1461,1.3173,0.0271%,methane
,"Snohomish County, WA",53061.0,American Indian or Alaska Native,1002-5,18.0,52345.0,Unreliable,20.3799,54.3466,8.1051,0.0128%,methane
,"Snohomish County, WA",53061.0,Black or African American,2054-5,11.0,128817.0,Unreliable,4.2628,15.2791,2.5747,0.0078%,methane
,"Snohomish County, WA",53061.0,White,2106-3,298.0,2521712.0,11.8174,10.4756,13.1591,0.6846,0.2126%,methane
,"Snohomish County, WA",53061.0,More than one race,M,18.0,167581.0,Unreliable,6.3658,16.9755,2.5317,0.0128%,methane
,"Spokane County, WA",53063.0,American Indian or Alaska Native,1002-5,10.0,38665.0,Unreliable,12.4024,47.5634,8.1787,0.0071%,methane
,"Spokane County, WA",53063.0,White,2106-3,200.0,1874790.0,10.6679,9.1894,12.1464,0.7543,0.1427%,methane
,"Spokane County, WA",53063.0,More than one race,M,11.0,90224.0,Unreliable,6.0862,21.8147,3.676,0.0078%,methane
,"Stevens County, WA",53065.0,White,2106-3,12.0,164827.0,Unreliable,3.7618,12.7173,2.1017,0.0086%,methane
,"Thurston County, WA",53067.0,White,2106-3,70.0,950614.0,7.3637,5.7403,9.3035,0.8801,0.0499%,methane
,"Walla Walla County, WA",53071.0,White,2106-3,11.0,224031.0,Unreliable,2.4511,8.7854,1.4804,0.0078%,methane
,"Whatcom County, WA",53073.0,White,2106-3,33.0,787897.0,4.1884,2.8831,5.882,0.7291,0.0235%,methane
,"Yakima County, WA",53077.0,White,2106-3,49.0,877438.0,5.5844,4.1314,7.3829,0.7978,0.0350%,methane
,"Barbour County, WV",54001.0,White,2106-3,13.0,62507.0,Unreliable,11.0739,35.5646,5.7682,0.0093%,methane
,"Berkeley County, WV",54003.0,Black or African American,2054-5,18.0,38770.0,Unreliable,27.5158,73.3757,10.9431,0.0128%,methane
,"Berkeley County, WV",54003.0,White,2106-3,143.0,423131.0,33.7957,28.2565,39.3349,2.8261,0.1020%,methane
,"Boone County, WV",54005.0,White,2106-3,50.0,84147.0,59.4198,44.1026,78.3379,8.4032,0.0357%,methane
,"Braxton County, WV",54007.0,White,2106-3,14.0,52508.0,Unreliable,14.5767,44.7353,7.1259,0.0100%,methane
,"Brooke County, WV",54009.0,White,2106-3,26.0,84643.0,30.7172,20.0654,45.0078,6.0241,0.0185%,methane
,"Cabell County, WV",54011.0,Black or African American,2054-5,12.0,17937.0,Unreliable,34.5683,116.8624,19.3126,0.0086%,methane
,"Cabell County, WV",54011.0,White,2106-3,245.0,337361.0,72.6225,63.5287,81.7163,4.6397,0.1748%,methane
,"Fayette County, WV",54019.0,White,2106-3,79.0,156254.0,50.5587,40.0278,63.0113,5.6883,0.0564%,methane
,"Grant County, WV",54023.0,White,2106-3,13.0,44508.0,Unreliable,15.5522,49.947,8.1009,0.0093%,methane
,"Greenbrier County, WV",54025.0,White,2106-3,49.0,128541.0,38.1201,28.2017,50.3967,5.4457,0.0350%,methane
,"Hampshire County, WV",54027.0,White,2106-3,37.0,90037.0,41.0942,28.934,56.643,6.7558,0.0264%,methane
,"Hancock County, WV",54029.0,White,2106-3,39.0,109158.0,35.7280,25.4062,48.8413,5.7211,0.0278%,methane
,"Hardy County, WV",54031.0,White,2106-3,17.0,51901.0,Unreliable,19.0809,52.4435,7.9442,0.0121%,methane
,"Harrison County, WV",54033.0,White,2106-3,72.0,254724.0,28.2659,22.1164,35.5961,3.3312,0.0514%,methane
,"Jackson County, WV",54035.0,White,2106-3,22.0,110794.0,19.8567,12.444,30.0632,4.2335,0.0157%,methane
,"Jefferson County, WV",54037.0,White,2106-3,41.0,203475.0,20.1499,14.46,27.3355,3.1469,0.0293%,methane
,"Kanawha County, WV",54039.0,Black or African American,2054-5,29.0,54102.0,53.6025,35.8986,76.9822,9.9537,0.0207%,methane
,"Kanawha County, WV",54039.0,White,2106-3,355.0,631488.0,56.2164,50.3685,62.0644,2.9837,0.2533%,methane
,"Lewis County, WV",54041.0,White,2106-3,14.0,62862.0,Unreliable,12.1758,37.367,5.9522,0.0100%,methane
,"Lincoln County, WV",54043.0,White,2106-3,46.0,79635.0,57.7635,42.2904,77.0485,8.5168,0.0328%,methane
,"Logan County, WV",54045.0,White,2106-3,115.0,124054.0,92.7016,75.7584,109.6447,8.6445,0.0820%,methane
,"McDowell County, WV",54047.0,White,2106-3,59.0,64172.0,91.9404,69.9896,118.5967,11.9696,0.0421%,methane
,"Marion County, WV",54049.0,White,2106-3,64.0,210445.0,30.4117,23.4207,38.8352,3.8015,0.0457%,methane
,"Marshall County, WV",54051.0,White,2106-3,29.0,118273.0,24.5195,16.4212,35.2142,4.5532,0.0207%,methane
,"Mason County, WV",54053.0,White,2106-3,48.0,101751.0,47.1740,34.7823,62.5456,6.809,0.0342%,methane
,"Mercer County, WV",54055.0,White,2106-3,117.0,214231.0,54.6139,44.7178,64.5101,5.0491,0.0835%,methane
,"Mineral County, WV",54057.0,White,2106-3,14.0,101443.0,Unreliable,7.5451,23.1555,3.6884,0.0100%,methane
,"Mingo County, WV",54059.0,White,2106-3,53.0,89850.0,58.9872,44.1855,77.1564,8.1025,0.0378%,methane
,"Monongalia County, WV",54061.0,White,2106-3,67.0,382479.0,17.5173,13.5757,22.2463,2.1401,0.0478%,methane
,"Monroe County, WV",54063.0,White,2106-3,15.0,50504.0,Unreliable,16.6231,48.9867,7.6687,0.0107%,methane
,"Morgan County, WV",54065.0,White,2106-3,21.0,68194.0,30.7945,19.0624,47.0728,6.7199,0.0150%,methane
,"Nicholas County, WV",54067.0,White,2106-3,21.0,95424.0,22.0070,13.6228,33.6402,4.8023,0.0150%,methane
,"Ohio County, WV",54069.0,White,2106-3,51.0,154496.0,33.0106,24.5787,43.4029,4.6224,0.0364%,methane
,"Preston County, WV",54077.0,White,2106-3,26.0,131356.0,19.7935,12.9297,29.0021,3.8818,0.0185%,methane
,"Putnam County, WV",54079.0,White,2106-3,54.0,218182.0,24.7500,18.5929,32.2933,3.368,0.0385%,methane
,"Raleigh County, WV",54081.0,Black or African American,2054-5,11.0,23673.0,Unreliable,23.196,83.1415,14.0102,0.0078%,methane
,"Raleigh County, WV",54081.0,White,2106-3,208.0,261039.0,79.6816,68.8527,90.5104,5.5249,0.1484%,methane
,"Randolph County, WV",54083.0,White,2106-3,13.0,109509.0,Unreliable,6.3209,20.3001,3.2925,0.0093%,methane
,"Summers County, WV",54089.0,White,2106-3,26.0,46295.0,56.1616,36.6864,82.2896,11.0142,0.0185%,methane
,"Taylor County, WV",54091.0,White,2106-3,18.0,64636.0,Unreliable,16.5045,44.0122,6.5639,0.0128%,methane
,"Upshur County, WV",54097.0,White,2106-3,14.0,93569.0,Unreliable,8.18,25.1041,3.9988,0.0100%,methane
,"Wayne County, WV",54099.0,White,2106-3,107.0,153152.0,69.8652,56.6271,83.1033,6.7541,0.0763%,methane
,"Wetzel County, WV",54103.0,White,2106-3,18.0,58116.0,Unreliable,18.3562,48.9499,7.3003,0.0128%,methane
,"Wood County, WV",54107.0,White,2106-3,92.0,321285.0,28.6350,23.0838,35.1183,2.9854,0.0656%,methane
,"Wyoming County, WV",54109.0,White,2106-3,45.0,80469.0,55.9222,40.7902,74.8283,8.3364,0.0321%,methane
,"Adams County, WI",55001.0,White,2106-3,14.0,76585.0,Unreliable,9.994,30.6713,4.8856,0.0100%,methane
,"Barron County, WI",55005.0,White,2106-3,11.0,173277.0,Unreliable,3.169,11.3587,1.9141,0.0078%,methane
,"Brown County, WI",55009.0,American Indian or Alaska Native,1002-5,19.0,36214.0,Unreliable,31.5881,81.9318,12.0365,0.0136%,methane
,"Brown County, WI",55009.0,White,2106-3,80.0,929271.0,8.6089,6.8263,10.7145,0.9625,0.0571%,methane
,"Chippewa County, WI",55017.0,White,2106-3,23.0,246344.0,9.3365,5.9185,14.0094,1.9468,0.0164%,methane
,"Columbia County, WI",55021.0,White,2106-3,27.0,219542.0,12.2983,8.1047,17.8935,2.3668,0.0193%,methane
,"Dane County, WI",55025.0,Black or African American,2054-5,73.0,123167.0,59.2691,46.4575,74.522,6.9369,0.0521%,methane
,"Dane County, WI",55025.0,White,2106-3,286.0,1867068.0,15.3181,13.5428,17.0935,0.9058,0.2040%,methane
,"Dodge County, WI",55027.0,White,2106-3,43.0,331736.0,12.9621,9.3807,17.4598,1.9767,0.0307%,methane
,"Douglas County, WI",55031.0,White,2106-3,16.0,161233.0,Unreliable,5.6722,16.1152,2.4809,0.0114%,methane
,"Eau Claire County, WI",55035.0,White,2106-3,31.0,385262.0,8.0465,5.4672,11.4213,1.4452,0.0221%,methane
,"Fond du Lac County, WI",55039.0,White,2106-3,29.0,387405.0,7.4857,5.0133,10.7507,1.3901,0.0207%,methane
,"Jefferson County, WI",55055.0,White,2106-3,24.0,326017.0,7.3616,4.7167,10.9534,1.5027,0.0171%,methane
,"Kenosha County, WI",55059.0,White,2106-3,71.0,589309.0,12.0480,9.4096,15.1969,1.4298,0.0507%,methane
,"La Crosse County, WI",55063.0,White,2106-3,55.0,432658.0,12.7121,9.5765,16.5466,1.7141,0.0392%,methane
,"Manitowoc County, WI",55071.0,White,2106-3,35.0,297741.0,11.7552,8.188,16.3486,1.987,0.0250%,methane
,"Marathon County, WI",55073.0,White,2106-3,26.0,493068.0,5.2731,3.4446,7.7263,1.0341,0.0185%,methane
,"Marinette County, WI",55075.0,White,2106-3,17.0,157379.0,Unreliable,6.2926,17.295,2.6199,0.0121%,methane
,"Milwaukee County, WI",55079.0,American Indian or Alaska Native,1002-5,12.0,37688.0,Unreliable,16.4522,55.6188,9.1915,0.0086%,methane
,"Milwaukee County, WI",55079.0,Black or African American,2054-5,177.0,1029185.0,17.1981,14.6644,19.7317,1.2927,0.1263%,methane
,"Milwaukee County, WI",55079.0,White,2106-3,474.0,2405124.0,19.7079,17.9337,21.4821,0.9052,0.3382%,methane
,"Milwaukee County, WI",55079.0,More than one race,M,13.0,111116.0,Unreliable,6.2295,20.0065,3.2449,0.0093%,methane
,"Monroe County, WI",55081.0,White,2106-3,10.0,173648.0,Unreliable,2.7616,10.5906,1.8211,0.0071%,methane
,"Oconto County, WI",55083.0,White,2106-3,13.0,147439.0,Unreliable,4.6948,15.0777,2.4455,0.0093%,methane
,"Outagamie County, WI",55087.0,White,2106-3,42.0,686191.0,6.1207,4.4113,8.2735,0.9445,0.0300%,methane
,"Ozaukee County, WI",55089.0,White,2106-3,22.0,337889.0,6.5110,4.0804,9.8577,1.3882,0.0157%,methane
,"Portage County, WI",55097.0,White,2106-3,20.0,265445.0,7.5345,4.6023,11.6365,1.6848,0.0143%,methane
,"Racine County, WI",55101.0,Black or African American,2054-5,14.0,94487.0,Unreliable,8.1005,24.8602,3.96,0.0100%,methane
,"Racine County, WI",55101.0,White,2106-3,77.0,652783.0,11.7957,9.3089,14.7426,1.3442,0.0549%,methane
,"Rock County, WI",55105.0,Black or African American,2054-5,11.0,34661.0,Unreliable,15.8426,56.7845,9.5688,0.0078%,methane
,"Rock County, WI",55105.0,White,2106-3,125.0,589194.0,21.2154,17.4962,24.9347,1.8976,0.0892%,methane
,"St. Croix County, WI",55109.0,White,2106-3,18.0,351678.0,Unreliable,3.0334,8.0891,1.2064,0.0128%,methane
,"Sauk County, WI",55111.0,White,2106-3,29.0,246166.0,11.7807,7.8897,16.919,2.1876,0.0207%,methane
,"Sheboygan County, WI",55117.0,White,2106-3,55.0,414121.0,13.2811,10.0052,17.2873,1.7908,0.0392%,methane
,"Walworth County, WI",55127.0,White,2106-3,52.0,400580.0,12.9812,9.695,17.0231,1.8002,0.0371%,methane
,"Washington County, WI",55131.0,White,2106-3,35.0,519292.0,6.7399,4.6946,9.3736,1.1393,0.0250%,methane
,"Waukesha County, WI",55133.0,White,2106-3,101.0,1495801.0,6.7522,5.4354,8.0691,0.6719,0.0721%,methane
,"Waupaca County, WI",55135.0,White,2106-3,12.0,197803.0,Unreliable,3.1347,10.5972,1.7513,0.0086%,methane
,"Winnebago County, WI",55139.0,White,2106-3,61.0,628106.0,9.7117,7.4287,12.4751,1.2435,0.0435%,methane
,"Wood County, WI",55141.0,White,2106-3,26.0,277033.0,9.3852,6.1307,13.7514,1.8406,0.0185%,methane
,"Campbell County, WY",56005.0,White,2106-3,13.0,175739.0,Unreliable,3.9388,12.6497,2.0517,0.0093%,methane
,"Fremont County, WY",56013.0,White,2106-3,12.0,115982.0,Unreliable,5.3461,18.0731,2.9868,0.0086%,methane
,"Laramie County, WY",56021.0,White,2106-3,20.0,366512.0,5.4568,3.3332,8.4277,1.2202,0.0143%,methane
,"Natrona County, WY",56025.0,White,2106-3,23.0,299469.0,7.6803,4.8686,11.5242,1.6014,0.0164%,methane
,"Sweetwater County, WY",56037.0,White,2106-3,18.0,159178.0,Unreliable,6.7019,17.8717,2.6653,0.0128%,methane
---,,nan,,,,,,,,,,methane
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,nan,,,,,,,,,,methane
Query Parameters:,,nan,,,,,,,,,,methane
ICD-10 Codes: W36 (Explosion and rupture of gas cylinder); W40 (Explosion of other materials); W78 (Inhalation of gastric,,nan,,,,,,,,,,methane
contents); X04 (Exposure to ignition of highly flammable material); X14 (Contact with hot air and gases); X44 (Accidental,,nan,,,,,,,,,,methane
"poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X46 (Accidental poisoning by",,nan,,,,,,,,,,methane
and exposure to organic solvents and halogenated hydrocarbons and their vapours); X47 (Accidental poisoning by and exposure to,,nan,,,,,,,,,,methane
"other gases and vapours); X88 (Assault by gases and vapours); Y14 (Poisoning by and exposure to other and unspecified drugs,",,nan,,,,,,,,,,methane
"medicaments and biological substances, undetermined intent); Y16 (Poisoning by and exposure to organic solvents and halogenated",,nan,,,,,,,,,,methane
"hydrocarbons and their vapours, undetermined intent); Y17 (Poisoning by and exposure to other gases and vapours, undetermined",,nan,,,,,,,,,,methane
intent),,nan,,,,,,,,,,methane
Group By: County; Single Race 6,,nan,,,,,,,,,,methane
Show Totals: Disabled,,nan,,,,,,,,,,methane
Show Zero Values: False,,nan,,,,,,,,,,methane
Show Suppressed: False,,nan,,,,,,,,,,methane
"Calculate Rates Per: 100,000",,nan,,,,,,,,,,methane
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,nan,,,,,,,,,,methane
---,,nan,,,,,,,,,,methane
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,nan,,,,,,,,,,methane
---,,nan,,,,,,,,,,methane
"Query Date: Jul 4, 2023 7:44:51 AM",,nan,,,,,,,,,,methane
---,,nan,,,,,,,,,,methane
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,nan,,,,,,,,,,methane
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,nan,,,,,,,,,,methane
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,nan,,,,,,,,,,methane
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jul 4, 2023 7:44:51 AM",,nan,,,,,,,,,,methane
---,,nan,,,,,,,,,,methane
Messages:,,nan,,,,,,,,,,methane
1. Totals are not available for these results due to suppression constraints. More Information:,,nan,,,,,,,,,,methane
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,nan,,,,,,,,,,methane
2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.,,nan,,,,,,,,,,methane
3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,nan,,,,,,,,,,methane
---,,nan,,,,,,,,,,methane
Caveats:,,nan,,,,,,,,,,methane
"1. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510).",,nan,,,,,,,,,,methane
2. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code,,nan,,,,,,,,,,methane
24005).,,nan,,,,,,,,,,methane
3. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189).,,nan,,,,,,,,,,methane
4. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,nan,,,,,,,,,,methane
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,nan,,,,,,,,,,methane
5. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,nan,,,,,,,,,,methane
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,nan,,,,,,,,,,methane
6. The method used to calculate 95% confidence intervals is documented here: More information:,,nan,,,,,,,,,,methane
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals.,,nan,,,,,,,,,,methane
7. The method used to calculate standard errors is documented here: More information:,,nan,,,,,,,,,,methane
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Standard-Errors.,,nan,,,,,,,,,,methane
"8. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021",,nan,,,,,,,,,,methane
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates",,nan,,,,,,,,,,methane
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The",,nan,,,,,,,,,,methane
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal",,nan,,,,,,,,,,methane
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,nan,,,,,,,,,,methane
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019.",,nan,,,,,,,,,,methane
9. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,nan,,,,,,,,,,methane
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,nan,,,,,,,,,,methane
Group.,,nan,,,,,,,,,,methane
"10. Between December 22, 2020 and February 3, 2021, the county-level race-specific population figures and rates reported for",,nan,,,,,,,,,,methane
year 2018 were inaccurate for queries that reported race-specific categories for single race 6 Race groups in combination for,,nan,,,,,,,,,,methane
any specific County and/or Urbanization categories. The results to such queries erroneously reported inaccurate population,,nan,,,,,,,,,,methane
values and death rates for specific 6 Race categories at the county level. This problem applied to all queries with County,,nan,,,,,,,,,,methane
and/or Urbanization categories and the specific 6 Race categories in year 2018. We apologize for this error.,,nan,,,,,,,,,,methane
11. Changes to cause of death classification affect reporting trends. More information:,,nan,,,,,,,,,,methane
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes.,,nan,,,,,,,,,,methane
,"Autauga County, AL",1001.0,White,2106-3,94.0,172224.0,54.5801,44.1062,66.7924,5.6295,0.0126%,mh
,"Baldwin County, AL",1003.0,Black or African American,2054-5,25.0,79421.0,31.4778,20.3709,46.4676,6.2956,0.0034%,mh
,"Baldwin County, AL",1003.0,White,2106-3,499.0,795220.0,62.7499,57.2441,68.2557,2.8091,0.0671%,mh
,"Barbour County, AL",1005.0,Black or African American,2054-5,21.0,47764.0,43.9662,27.2159,67.2071,9.5942,0.0028%,mh
,"Barbour County, AL",1005.0,White,2106-3,36.0,48680.0,73.9523,51.7955,102.3811,12.3254,0.0048%,mh
,"Bibb County, AL",1007.0,White,2106-3,56.0,68474.0,81.7829,61.778,106.2016,10.9287,0.0075%,mh
,"Blount County, AL",1009.0,White,2106-3,133.0,222647.0,59.7358,49.5835,69.8881,5.1798,0.0179%,mh
,"Bullock County, AL",1011.0,Black or African American,2054-5,24.0,28417.0,84.4565,54.113,125.6645,17.2396,0.0032%,mh
,"Butler County, AL",1013.0,White,2106-3,28.0,40344.0,69.4031,46.1177,100.307,13.116,0.0038%,mh
,"Calhoun County, AL",1015.0,Black or African American,2054-5,33.0,97820.0,33.7354,23.2218,47.377,5.8726,0.0044%,mh
,"Calhoun County, AL",1015.0,White,2106-3,289.0,342854.0,84.2924,74.574,94.0109,4.9584,0.0388%,mh
,"Chambers County, AL",1017.0,Black or African American,2054-5,19.0,54075.0,Unreliable,21.1546,54.8697,8.0608,0.0026%,mh
,"Chambers County, AL",1017.0,White,2106-3,61.0,76442.0,79.7991,61.0399,102.5051,10.2172,0.0082%,mh
,"Cherokee County, AL",1019.0,White,2106-3,87.0,96251.0,90.3887,72.3977,111.4944,9.6907,0.0117%,mh
,"Chilton County, AL",1021.0,White,2106-3,75.0,155139.0,48.3437,38.0253,60.5994,5.5823,0.0101%,mh
,"Choctaw County, AL",1023.0,White,2106-3,12.0,28843.0,Unreliable,21.4975,72.6748,12.0102,0.0016%,mh
,"Clarke County, AL",1025.0,Black or African American,2054-5,14.0,42147.0,Unreliable,18.1601,55.7326,8.8776,0.0019%,mh
,"Clarke County, AL",1025.0,White,2106-3,39.0,49521.0,78.7545,56.0023,107.6597,12.6108,0.0052%,mh
,"Clay County, AL",1027.0,White,2106-3,58.0,44787.0,129.5019,98.3359,167.4109,17.0044,0.0078%,mh
,"Cleburne County, AL",1029.0,White,2106-3,43.0,56914.0,75.5526,54.6774,101.7686,11.5217,0.0058%,mh
,"Coffee County, AL",1031.0,Black or African American,2054-5,17.0,37136.0,Unreliable,26.6673,73.2946,11.1027,0.0023%,mh
,"Coffee County, AL",1031.0,White,2106-3,109.0,160419.0,67.9471,55.1911,80.703,6.5081,0.0146%,mh
,"Colbert County, AL",1033.0,Black or African American,2054-5,13.0,36190.0,Unreliable,19.1268,61.4269,9.9628,0.0017%,mh
,"Colbert County, AL",1033.0,White,2106-3,129.0,179041.0,72.0505,59.6169,84.4842,6.3437,0.0173%,mh
,"Conecuh County, AL",1035.0,White,2106-3,16.0,24533.0,Unreliable,37.2781,105.9106,16.3046,0.0022%,mh
,"Coosa County, AL",1037.0,White,2106-3,23.0,28499.0,80.7046,51.1594,121.0964,16.8281,0.0031%,mh
,"Covington County, AL",1039.0,White,2106-3,87.0,125302.0,69.4323,55.6125,85.6447,7.4439,0.0117%,mh
,"Crenshaw County, AL",1041.0,White,2106-3,22.0,39233.0,56.0752,35.1418,84.8985,11.9553,0.0030%,mh
,"Cullman County, AL",1043.0,White,2106-3,211.0,326825.0,64.5605,55.8493,73.2718,4.4445,0.0284%,mh
,"Dale County, AL",1045.0,Black or African American,2054-5,14.0,41495.0,Unreliable,18.4455,56.6083,9.0171,0.0019%,mh
,"Dale County, AL",1045.0,White,2106-3,118.0,144437.0,81.6965,66.9558,96.4372,7.5208,0.0159%,mh
,"Dallas County, AL",1047.0,Black or African American,2054-5,32.0,105554.0,30.3162,20.7363,42.7974,5.3592,0.0043%,mh
,"Dallas County, AL",1047.0,White,2106-3,26.0,40948.0,63.4952,41.4769,93.035,12.4524,0.0035%,mh
,"DeKalb County, AL",1049.0,White,2106-3,172.0,265178.0,64.8621,55.1685,74.5556,4.9457,0.0231%,mh
,"Elmore County, AL",1051.0,Black or African American,2054-5,16.0,71414.0,Unreliable,12.8062,36.3837,5.6011,0.0022%,mh
,"Elmore County, AL",1051.0,White,2106-3,131.0,252647.0,51.8510,42.9717,60.7303,4.5302,0.0176%,mh
,"Escambia County, AL",1053.0,Black or African American,2054-5,22.0,46105.0,47.7172,29.9039,72.2443,10.1733,0.0030%,mh
,"Escambia County, AL",1053.0,White,2106-3,82.0,90875.0,90.2338,71.7657,112.0037,9.9647,0.0110%,mh
,"Etowah County, AL",1055.0,Black or African American,2054-5,38.0,64743.0,58.6936,41.5351,80.5617,9.5214,0.0051%,mh
,"Etowah County, AL",1055.0,White,2106-3,238.0,330569.0,71.9971,62.85,81.1442,4.6669,0.0320%,mh
,"Fayette County, AL",1057.0,White,2106-3,43.0,55840.0,77.0057,55.729,103.7259,11.7433,0.0058%,mh
,"Franklin County, AL",1059.0,White,2106-3,41.0,115522.0,35.4911,25.4691,48.1475,5.5428,0.0055%,mh
,"Geneva County, AL",1061.0,White,2106-3,62.0,91956.0,67.4236,51.693,86.4336,8.5628,0.0083%,mh
,"Greene County, AL",1063.0,Black or African American,2054-5,11.0,25563.0,Unreliable,21.481,76.9944,12.9743,0.0015%,mh
,"Hale County, AL",1065.0,Black or African American,2054-5,30.0,34080.0,88.0282,59.3926,125.6655,16.0717,0.0040%,mh
,"Hale County, AL",1065.0,White,2106-3,33.0,23922.0,137.9483,94.9567,193.7305,24.0137,0.0044%,mh
,"Henry County, AL",1067.0,Black or African American,2054-5,18.0,17770.0,Unreliable,60.0331,160.0886,23.8753,0.0024%,mh
,"Henry County, AL",1067.0,White,2106-3,51.0,49570.0,102.8848,76.6049,135.275,14.4068,0.0069%,mh
,"Houston County, AL",1069.0,Black or African American,2054-5,41.0,116821.0,35.0964,25.1859,47.6122,5.4811,0.0055%,mh
,"Houston County, AL",1069.0,White,2106-3,218.0,291261.0,74.8470,64.9112,84.7827,5.0693,0.0293%,mh
,"Jackson County, AL",1071.0,White,2106-3,99.0,189701.0,52.1874,42.4153,63.5361,5.245,0.0133%,mh
,"Jefferson County, AL",1073.0,Black or African American,2054-5,570.0,1151498.0,49.5007,45.437,53.5645,2.0734,0.0766%,mh
,"Jefferson County, AL",1073.0,White,2106-3,1127.0,1397471.0,80.6457,75.9373,85.3541,2.4023,0.1515%,mh
,"Lamar County, AL",1075.0,White,2106-3,32.0,48169.0,66.4328,45.44,93.7831,11.7438,0.0043%,mh
,"Lauderdale County, AL",1077.0,Black or African American,2054-5,10.0,37307.0,Unreliable,12.8539,49.2948,8.4764,0.0013%,mh
,"Lauderdale County, AL",1077.0,White,2106-3,192.0,323533.0,59.3448,50.9504,67.7392,4.2828,0.0258%,mh
,"Lawrence County, AL",1079.0,White,2106-3,62.0,103276.0,60.0333,46.0269,76.9597,7.6242,0.0083%,mh
,"Lee County, AL",1081.0,Black or African American,2054-5,53.0,154536.0,34.2962,25.6903,44.8601,4.7109,0.0071%,mh
,"Lee County, AL",1081.0,White,2106-3,173.0,475234.0,36.4031,30.9785,41.8278,2.7677,0.0233%,mh
,"Limestone County, AL",1083.0,Black or African American,2054-5,12.0,56429.0,Unreliable,10.9882,37.1469,6.1389,0.0016%,mh
,"Limestone County, AL",1083.0,White,2106-3,186.0,327445.0,56.8034,48.64,64.9669,4.165,0.0250%,mh
,"Lowndes County, AL",1085.0,Black or African American,2054-5,15.0,28526.0,Unreliable,29.4305,86.7288,13.577,0.0020%,mh
,"Macon County, AL",1087.0,Black or African American,2054-5,29.0,58815.0,49.3071,33.022,70.8134,9.1561,0.0039%,mh
,"Madison County, AL",1089.0,Asian,A,10.0,40465.0,Unreliable,11.8507,45.4477,7.8148,0.0013%,mh
,"Madison County, AL",1089.0,Black or African American,2054-5,93.0,376220.0,24.7196,19.9519,30.2832,2.5633,0.0125%,mh
,"Madison County, AL",1089.0,White,2106-3,531.0,1042220.0,50.9489,46.6154,55.2825,2.211,0.0714%,mh
,"Marengo County, AL",1091.0,Black or African American,2054-5,19.0,39036.0,Unreliable,29.3046,76.0088,11.1664,0.0026%,mh
,"Marengo County, AL",1091.0,White,2106-3,44.0,35257.0,124.7979,90.6782,167.535,18.814,0.0059%,mh
,"Marion County, AL",1093.0,White,2106-3,89.0,111103.0,80.1058,64.3314,98.5775,8.4912,0.0120%,mh
