"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Elkhart County, IN"	"18039"	"Feb., 2018"	"2018/02"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Mar., 2018"	"2018/03"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Apr., 2018"	"2018/04"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"May, 2018"	"2018/05"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Jun., 2018"	"2018/06"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Jul., 2018"	"2018/07"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Aug., 2018"	"2018/08"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Sep., 2018"	"2018/09"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Oct., 2018"	"2018/10"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Nov., 2018"	"2018/11"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	"Jan., 2018"	"2018/01"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	"Apr., 2018"	"2018/04"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"Feb., 2018"	"2018/02"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"Jun., 2018"	"2018/06"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"Jul., 2018"	"2018/07"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"Sep., 2018"	"2018/09"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Greene County, IN"	"18055"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Jan., 2018"	"2018/01"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Feb., 2018"	"2018/02"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Apr., 2018"	"2018/04"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Jun., 2018"	"2018/06"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Jul., 2018"	"2018/07"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Aug., 2018"	"2018/08"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Sep., 2018"	"2018/09"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hancock County, IN"	"18059"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hancock County, IN"	"18059"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hancock County, IN"	"18059"	"Dec., 2018"	"2018/12"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"Jan., 2018"	"2018/01"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Henry County, IN"	"18065"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"Jan., 2018"	"2018/01"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"Apr., 2018"	"2018/04"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"Jun., 2018"	"2018/06"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"Sep., 2018"	"2018/09"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"Nov., 2018"	"2018/11"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, IN"	"18071"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, IN"	"18071"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, IN"	"18077"	"Jan., 2018"	"2018/01"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Jan., 2018"	"2018/01"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Feb., 2018"	"2018/02"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Mar., 2018"	"2018/03"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"May, 2018"	"2018/05"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Jul., 2018"	"2018/07"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Sep., 2018"	"2018/09"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Oct., 2018"	"2018/10"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"Dec., 2018"	"2018/12"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Knox County, IN"	"18083"	"Mar., 2018"	"2018/03"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Knox County, IN"	"18083"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kosciusko County, IN"	"18085"	"Jan., 2018"	"2018/01"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kosciusko County, IN"	"18085"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kosciusko County, IN"	"18085"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kosciusko County, IN"	"18085"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Jan., 2018"	"2018/01"	53	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Feb., 2018"	"2018/02"	41	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Mar., 2018"	"2018/03"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Apr., 2018"	"2018/04"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"May, 2018"	"2018/05"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Jun., 2018"	"2018/06"	41	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Jul., 2018"	"2018/07"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Aug., 2018"	"2018/08"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Sep., 2018"	"2018/09"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Oct., 2018"	"2018/10"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Nov., 2018"	"2018/11"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"Dec., 2018"	"2018/12"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Jan., 2018"	"2018/01"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Mar., 2018"	"2018/03"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Nov., 2018"	"2018/11"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lawrence County, IN"	"18093"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Jan., 2018"	"2018/01"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Feb., 2018"	"2018/02"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Mar., 2018"	"2018/03"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Apr., 2018"	"2018/04"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"May, 2018"	"2018/05"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Jun., 2018"	"2018/06"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Oct., 2018"	"2018/10"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Jan., 2018"	"2018/01"	113	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Feb., 2018"	"2018/02"	85	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Mar., 2018"	"2018/03"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Apr., 2018"	"2018/04"	66	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"May, 2018"	"2018/05"	81	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Jun., 2018"	"2018/06"	56	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Jul., 2018"	"2018/07"	53	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Aug., 2018"	"2018/08"	68	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Sep., 2018"	"2018/09"	66	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Oct., 2018"	"2018/10"	57	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Nov., 2018"	"2018/11"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"Dec., 2018"	"2018/12"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Monroe County, IN"	"18105"	"Jan., 2018"	"2018/01"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Monroe County, IN"	"18105"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Monroe County, IN"	"18105"	"Mar., 2018"	"2018/03"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Monroe County, IN"	"18105"	"Apr., 2018"	"2018/04"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, IN"	"18109"	"Jan., 2018"	"2018/01"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, IN"	"18109"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, IN"	"18109"	"Aug., 2018"	"2018/08"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, IN"	"18109"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Jan., 2018"	"2018/01"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Feb., 2018"	"2018/02"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Mar., 2018"	"2018/03"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Apr., 2018"	"2018/04"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"May, 2018"	"2018/05"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Jun., 2018"	"2018/06"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Jul., 2018"	"2018/07"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Oct., 2018"	"2018/10"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Nov., 2018"	"2018/11"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"Dec., 2018"	"2018/12"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Jan., 2018"	"2018/01"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Feb., 2018"	"2018/02"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Mar., 2018"	"2018/03"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Apr., 2018"	"2018/04"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"May, 2018"	"2018/05"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Jun., 2018"	"2018/06"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Jul., 2018"	"2018/07"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Aug., 2018"	"2018/08"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Sep., 2018"	"2018/09"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Oct., 2018"	"2018/10"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Nov., 2018"	"2018/11"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"Dec., 2018"	"2018/12"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Jan., 2018"	"2018/01"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Feb., 2018"	"2018/02"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Apr., 2018"	"2018/04"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Sep., 2018"	"2018/09"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Oct., 2018"	"2018/10"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Jan., 2018"	"2018/01"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Feb., 2018"	"2018/02"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Mar., 2018"	"2018/03"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Apr., 2018"	"2018/04"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"May, 2018"	"2018/05"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Jun., 2018"	"2018/06"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Jul., 2018"	"2018/07"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Aug., 2018"	"2018/08"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Oct., 2018"	"2018/10"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Nov., 2018"	"2018/11"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Jan., 2018"	"2018/01"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Jul., 2018"	"2018/07"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Aug., 2018"	"2018/08"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Sep., 2018"	"2018/09"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Warrick County, IN"	"18173"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Warrick County, IN"	"18173"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Warrick County, IN"	"18173"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Warrick County, IN"	"18173"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Wayne County, IN"	"18177"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Wayne County, IN"	"18177"	"Feb., 2018"	"2018/02"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Wayne County, IN"	"18177"	"Mar., 2018"	"2018/03"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Wayne County, IN"	"18177"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Wayne County, IN"	"18177"	"Jul., 2018"	"2018/07"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Wayne County, IN"	"18177"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Feb., 2018"	"2018/02"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Mar., 2018"	"2018/03"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Jul., 2018"	"2018/07"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Oct., 2018"	"2018/10"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Nov., 2018"	"2018/11"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"Dec., 2018"	"2018/12"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Clinton County, IA"	"19045"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Clinton County, IA"	"19045"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Clinton County, IA"	"19045"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Dubuque County, IA"	"19061"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Dubuque County, IA"	"19061"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Dubuque County, IA"	"19061"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Johnson County, IA"	"19103"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Jan., 2018"	"2018/01"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Feb., 2018"	"2018/02"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Mar., 2018"	"2018/03"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Apr., 2018"	"2018/04"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"May, 2018"	"2018/05"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Jun., 2018"	"2018/06"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Jul., 2018"	"2018/07"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Aug., 2018"	"2018/08"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Sep., 2018"	"2018/09"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Oct., 2018"	"2018/10"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"Dec., 2018"	"2018/12"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Jan., 2018"	"2018/01"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Feb., 2018"	"2018/02"	44	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Mar., 2018"	"2018/03"	46	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Apr., 2018"	"2018/04"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"May, 2018"	"2018/05"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Jun., 2018"	"2018/06"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Jul., 2018"	"2018/07"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"Aug., 2018"	"2018/08"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
